Watershed;ID;SB;SP;AS;V;MPr;MN;MPa;PC;PH
Aber-Benoit;J3213020;0;0;0;0;0;1;0;0;99
Aber-Ildut;J3323020;0;0;5,1;0;0;20,5;8,3;0;66,1
Aber-Wrach_Drennec;J3205710;0;0;0;0;0;0;0;0;100
Aber-Wrach_Loc;J3204020;0;0;0;0;0;18,9;0;0;81,1
Aff_Paimpont;J8602410;0;100;0;0;0;0;0;0;0
Aff_Quelneuc;J8632410;46,9;50,1;1,4;1,6;0;0;0;0;0
Arguenon;J1103010;49,6;16;0;0;0;0;0;7,7;26,7
Blavet_Kerien;J5202110;0;0;0;0;0;0;0;0;100
Canut-Nord;J7513010;0;100;0;0;0;0;0;0;0
Chateaubriant;J7803020;51,2;35,7;13,1;0;0;0;0;0;0
Cheze_Plelan;J7364220;0;100;0;0;0;0;0;0;0
Claie_St Jean;J8433010;2;4,7;0;0;0;45,3;0;0;48
Coet-Organ;J5704810;2,3;0;0;0;0;4,1;0;0;93,5
Douffine;J3834010;0;95,1;0;4,9;0;0;0;0;0
Dourduff;J2514010;48,7;27,2;0;1,8;0;0;0;0;21,4
Douron;J2404010;8,1;4,9;0;0;0;6;66,4;0;14,6
Elle_Priziac;J4712010;13,3;10,7;15,5;0;0;0,1;0;0;60,3
Elorn_Commana;J3403020;0;100;0;0;0;0;0;0;0
Elorn_Plouedern;J3413030;9,3;50,8;0;0;0;6,1;20,9;0;12,9
Elorn_Sizun;J3403010;0;68,3;0;0;0;0;0;0;31,7
Evel;J5613010;96,8;0;0;0;0;2,9;0;0;0,2
Evron;J1324010;35,2;4,2;8,4;0;4,1;0;0;16,1;32
Flume;J7214010;87,2;10,8;0;0;0;0;0;2;0
Fremeur_Guenin;J5618310;100;0;0;0;0;0;0;0;0
Fremur_Henanbihen;J1205410;71,6;0;0;0;19,3;0;0;9,1;0
Garun;J7344010;100;0;0;0;0;0;0;0;0
Gouessant;J1313010;52,9;0,2;0;0;13,8;0;0;11,2;22
Gouet;J1513010;22,1;19,5;0;0;0;0;0;3,2;55,2
Guic;J2213110;16;19,7;0;0;0;20,8;0;0;43,5
Guillec;J3024010;0;0;0;0;0;89,4;0;0;10,6
Guindy;J2034010;5,3;0;0;0;5,6;0;0;14,7;49,4
Horn;J3014330;0,5;0;0;0;0;93,6;5,9;0;0
Hyeres;J3733010;18,9;69,5;0;0;0;0;0;1,1;10,5
Ic;J1614010;34,5;0;0;0;52,2;0;0;13,3;0
Ille;J7103010;86;1,5;3,5;0;0;0;0;8,7;0,2
Inam;J4734010;45,1;1,6;0;0;0;27,1;0;0;26,3
Isole;J4803010;27,4;0,2;0;0;0;56,6;0;0;15,8
Jarlot;J2603010;3,6;18,2;0;0;0;3,1;44,7;0;30,4
Jaudy;J2023010;1,5;1,3;0;0;25;0;3,2;40,4;28,5
Jet;J4224010;0;0;0;0;0;48,6;0,7;0;50,8
Langelin;J4214510;0;100;0;0;0;0;0;0;0
Leff_Boqueho;J1803010;0;0;0;0;7,1;0;0;5,3;87,5
Leff_Quemper;J1813010;4,5;0,3;0;0,8;45;0;0;38,3;11
Lestolet;J5205210;8,8;8,3;0;3,9;18,6;4,1;3;5,9;47,6
Lie;J8133010;0;0;0;0;0;0;0;0;100
Loch;J6213010;30,7;9,5;0;0;0;25,2;12;0;22,6
Loysance;J0144010;28,2;0;0;0;0;3,5;0;0;68,3
Maudouve;J1524010;12,2;0;0;0;0;0;0;87;0,8
Meu_Gael;J7313010;0;0;0;0;36,1;0;0;0;63,9
Meu_Montfort;J7353010;97,9;0;2,1;0;0;0;0;0;0
Mignonne;J3514010;84,2;15,2;0,6;0;0;0;0;0;0
Moros;J4514010;0;100;0;0;0;0;0;0;0
Mougau-Bihan;J3404110;0;0;0;0;0;0;53,5;0;46,5
Nancon;J0014010;0;50;0;0;0;0;0;0;50
Neal;J0626610;1,2;0;2,8;0;0;0;0;96,1;0
Odet_Ergue;J4211910;84,4;1,8;13,6;0;0;0;0;0,1;0
Odet_Quimper;J4231911;38,6;16,8;0;0;0;28,5;1;0;15
Oust_StMartin;J8002320 ;23,9;10,9;0;0;0;35,3;0,9;0;29
Penze;J2723010;0;99,6;0;0;0;0;0;0;0,4
Pont-Abbe;J4124420;20,6;20,7;0;0;0;2,5;19,4;0;36,8
Queffleuth;J2614010;0;0;0;0;4,4;6;1,3;0;88,3
Quilloury;J1105810;14,2;29,6;0;0;0;0;18,8;0;37,4
Rance_Guenroc;J0621610;20,7;0;0;0;0;0;0;11;68,3
Rance_StJouan;J0611610;71;9,7;4,6;0;0;5,1;0;3,3;6,5
Rosette;J1114010;68,5;0,4;1,1;0;0;13,1;0;0;16,8
Scorff;J5102210;45,6;16,7;0;0;0;0;0;2,7;35
Semnon;J7633010;2,6;0;0;0;0;26,9;0;0;70,5
Styval;J4515420;0;100;0;0;0;0;0;0;0
Trieux;J1711710;0;0;0;0;0;0;33,2;0;66,8
Troyon;J4125720;0;4,9;0;0;19,3;0;0;3;72,8
Urne;J1405310;0;0;0;0;0;18,9;9,2;0;71,9
Valiere;J7024010;21,7;0;0;0;15,7;0;0;11,4;51,2
Yar;J2314910;97,8;0;2,2;0;0;0;0;0;0
