t,Q
2003-11-19,1.072
2003-11-20,1.202
2003-11-21,1.575
2003-11-22,3.607
2003-11-23,12.161
2003-11-24,8.431
2003-11-25,3.748
2003-11-26,7.181
2003-11-27,6.306
2003-11-28,3.761
2003-11-29,3.467
2003-11-30,4.122
2003-12-01,11.743
2003-12-02,12.523
2003-12-03,8.584
2003-12-04,6.207
2003-12-05,4.474
2003-12-06,4.053
2003-12-07,3.758
2003-12-08,3.584
2003-12-09,3.495
2003-12-10,3.537
2003-12-11,3.74
2003-12-12,4.063
2003-12-13,4.025
2003-12-14,4.153
2003-12-15,3.79
2003-12-16,3.434
2003-12-17,3.231
2003-12-18,3.203
2003-12-19,3.181
2003-12-20,3.627
2003-12-21,4.752
2003-12-22,4.536
2003-12-23,4.178
2003-12-24,3.958
2003-12-25,3.877
2003-12-26,3.887
2003-12-27,5.533
2003-12-28,15.808
2003-12-29,15.81
2003-12-30,13.269
2003-12-31,10.543
2004-01-01,12.365
2004-01-02,12.103
2004-01-03,9.888
2004-01-04,7.655
2004-01-05,7.228
2004-01-06,7.094
2004-01-07,7.546
2004-01-08,20.446
2004-01-09,18.074
2004-01-10,12.74
2004-01-11,14.114
2004-01-12,23.444
2004-01-13,37.707
2004-01-14,39.523
2004-01-15,30.671
2004-01-16,33.85
2004-01-17,29.587
2004-01-18,27.145
2004-01-19,21.943
2004-01-20,20.355
2004-01-21,18.922
2004-01-22,18.479
2004-01-23,20.115
2004-01-24,20.618
2004-01-25,18.531
2004-01-26,40.646
2004-01-27,38.384
2004-01-28,27.154
2004-01-29,24.703
2004-01-30,22.175
2004-01-31,28.211
2004-02-01,28.501
2004-02-02,22.476
2004-02-03,19.917
2004-02-04,18.238
2004-02-05,17.509
2004-02-06,16.94
2004-02-07,16.344
2004-02-08,15.537
2004-02-09,14.528
2004-02-10,13.692
2004-02-11,13.128
2004-02-12,12.755
2004-02-13,12.383
2004-02-14,12.01
2004-02-15,11.637
2004-02-16,9.966
2004-02-17,8.619
2004-02-18,8.806
2004-02-19,10.51
2004-02-20,10.106
2004-02-21,10.78
2004-02-22,11.714
2004-02-23,8.922
2004-02-24,7.75
2004-02-25,8.246
2004-02-26,9.504
2004-02-27,9.729
2004-02-28,10.667
2004-02-29,10.262
2004-03-01,8.214
2004-03-02,9.396
2004-03-03,9.307
2004-03-04,14.358
2004-03-05,14.637
2004-03-06,13.015
2004-03-07,11.124
2004-03-08,10.475
2004-03-09,9.999
2004-03-10,8.579
2004-03-11,7.468
2004-03-12,8.786
2004-03-13,9.037
2004-03-14,9.362
2004-03-15,10.884
2004-03-16,9.822
2004-03-17,8.488
2004-03-18,8.397
2004-03-19,9.879
2004-03-20,11.66
2004-03-21,12.394
2004-03-22,12.114
2004-03-23,12.633
2004-03-24,13.231
2004-03-25,12.239
2004-03-26,11.464
2004-03-27,11.113
2004-03-28,10.776
2004-03-29,9.92
2004-03-30,8.036
2004-03-31,7.794
2004-04-01,8.172
2004-04-02,10.736
2004-04-03,8.6
2004-04-04,11.26
2004-04-05,9.958
2004-04-06,9.346
2004-04-07,9.035
2004-04-08,8.522
2004-04-09,8.321
2004-04-10,8.159
2004-04-11,8.056
2004-04-12,7.707
2004-04-13,7.385
2004-04-14,7.042
2004-04-15,7.085
2004-04-16,6.971
2004-04-17,6.856
2004-04-18,9.246
2004-04-19,11.786
2004-04-20,11.305
2004-04-21,11.372
2004-04-22,10.384
2004-04-23,9.069
2004-04-24,8.292
2004-04-25,6.292
2004-04-26,5.652
2004-04-27,5.564
2004-04-28,7.581
2004-04-29,9.311
2004-04-30,15.531
2004-05-01,12.929
2004-05-02,10.853
2004-05-03,8.902
2004-05-04,7.347
2004-05-05,11.106
2004-05-06,20.478
2004-05-07,18.952
2004-05-08,12.717
2004-05-09,11.366
2004-05-10,9.488
2004-05-11,8.553
2004-05-12,8.908
2004-05-13,8.766
