t,H,d
2003-12-04,49.67,3.48
2003-12-05,49.58,3.57
2003-12-06,49.53,3.62
2003-12-07,49.48,3.67
2003-12-08,49.44,3.71
2003-12-09,49.41,3.74
2003-12-10,49.36,3.79
2003-12-11,49.33,3.82
2003-12-12,49.29,3.86
2003-12-13,49.27,3.88
2003-12-14,49.23,3.92
2003-12-15,49.21,3.94
2003-12-16,49.21,3.94
2003-12-17,49.23,3.92
2003-12-18,49.24,3.91
2003-12-19,49.22,3.93
2003-12-20,49.23,3.92
2003-12-21,49.19,3.96
2003-12-22,49.14,4.01
2003-12-23,49.15,4.0
2003-12-24,49.14,4.01
2003-12-25,49.15,4.0
2003-12-26,49.19,3.96
2003-12-27,49.19,3.96
2003-12-28,49.4,3.75
2003-12-29,49.65,3.5
2003-12-30,49.66,3.49
2003-12-31,49.63,3.52
2004-01-01,49.61,3.54
2004-01-02,49.56,3.59
2004-01-03,49.55,3.6
2004-01-04,49.53,3.62
2004-01-05,49.51,3.64
2004-01-06,49.48,3.67
2004-01-07,49.46,3.69
2004-01-08,49.45,3.7
2004-01-09,49.42,3.73
2004-01-10,49.42,3.73
2004-01-11,49.45,3.7
2004-01-12,49.53,3.62
2004-01-13,49.78,3.37
2004-01-14,49.99,3.16
2004-01-15,49.87,3.28
2004-01-16,49.8,3.35
2004-01-17,49.76,3.39
2004-01-18,49.71,3.44
2004-01-19,49.7,3.45
2004-01-20,49.64,3.51
2004-01-21,49.58,3.57
2004-01-22,49.54,3.61
2004-01-23,49.49,3.66
2004-01-24,49.46,3.69
2004-01-25,49.48,3.67
2004-01-26,50.02,3.13
2004-01-27,49.99,3.16
2004-01-28,49.83,3.32
2004-01-29,49.72,3.43
2004-01-30,49.65,3.5
2004-01-31,49.59,3.56
2004-02-01,49.5,3.65
2004-02-02,49.45,3.7
2004-02-03,49.42,3.73
2004-02-04,49.39,3.76
2004-02-05,49.36,3.79
2004-02-06,49.35,3.8
2004-02-07,49.3,3.85
2004-02-08,49.27,3.88
2004-02-09,49.23,3.92
2004-02-10,49.22,3.93
2004-02-11,49.2,3.95
2004-02-12,49.17,3.98
2004-02-13,49.15,4.0
2004-02-14,49.14,4.01
2004-02-15,49.12,4.03
2004-02-16,49.09,4.06
2004-02-17,49.07,4.08
2004-02-18,49.05,4.1
2004-02-19,49.05,4.1
2004-02-20,49.05,4.1
2004-02-21,49.05,4.1
2004-02-22,49.02,4.13
2004-02-23,48.97,4.18
2004-02-24,48.96,4.19
2004-02-25,48.97,4.18
2004-02-26,48.96,4.19
2004-02-27,48.98,4.17
2004-02-28,48.99,4.16
2004-02-29,48.98,4.17
2004-03-01,48.98,4.17
2004-03-02,48.99,4.16
2004-03-03,49.03,4.12
2004-03-04,49.07,4.08
2004-03-05,49.12,4.03
2004-03-06,49.14,4.01
2004-03-07,49.17,3.98
2004-03-08,49.21,3.94
2004-03-09,49.25,3.9
2004-03-10,49.29,3.86
2004-03-11,49.33,3.82
2004-03-12,49.35,3.8
2004-03-13,49.34,3.81
2004-03-14,49.34,3.81
2004-03-15,49.32,3.83
2004-03-16,49.33,3.82
2004-03-17,49.34,3.81
2004-03-18,49.35,3.8
2004-03-19,49.35,3.8
2004-03-20,49.33,3.82
2004-03-21,49.31,3.84
