t,H,d
2005-12-21,76.5,8.7
2005-12-22,76.49,8.71
2005-12-23,76.49,8.71
2005-12-24,76.49,8.71
2005-12-25,76.49,8.71
2005-12-26,76.49,8.71
2005-12-27,76.5,8.7
2005-12-28,76.47,8.73
2005-12-29,76.44,8.76
2005-12-30,76.49,8.71
2005-12-31,76.49,8.71
2006-01-01,76.48,8.72
2006-01-02,76.46,8.74
2006-01-03,76.51,8.69
2006-01-04,76.61,8.59
2006-01-05,76.7,8.5
2006-01-06,76.76,8.44
2006-01-07,76.78,8.42
2006-01-08,76.83,8.37
2006-01-09,76.84,8.36
2006-01-10,76.85,8.35
2006-01-11,76.88,8.32
2006-01-12,76.86,8.34
2006-01-13,76.9,8.3
2006-01-14,76.9,8.3
2006-01-15,76.93,8.27
2006-01-16,76.93,8.27
2006-01-17,76.95,8.25
2006-01-18,76.87,8.33
2006-01-19,76.85,8.35
2006-01-20,76.86,8.34
2006-01-21,76.81,8.39
2006-01-22,76.79,8.41
2006-01-23,76.8,8.4
2006-01-24,76.82,8.38
2006-01-25,76.84,8.36
2006-01-26,76.84,8.36
2006-01-27,76.83,8.37
2006-01-28,76.84,8.36
2006-01-29,76.84,8.36
2006-01-30,76.88,8.32
2006-01-31,76.95,8.25
2006-02-01,77.02,8.18
2006-02-02,77.1,8.1
2006-02-03,77.15,8.05
2006-02-04,77.17,8.03
2006-02-05,77.18,8.02
2006-02-06,77.2,8.0
2006-02-07,77.24,7.96
2006-02-08,77.31,7.89
2006-02-09,77.29,7.91
2006-02-10,77.26,7.94
2006-02-11,77.25,7.95
2006-02-12,77.24,7.96
2006-02-13,77.26,7.94
2006-02-14,77.27,7.93
2006-02-15,77.31,7.89
2006-02-16,77.33,7.87
2006-02-17,77.32,7.88
2006-02-18,77.32,7.88
2006-02-19,77.32,7.88
2006-02-20,77.29,7.91
2006-02-21,77.36,7.84
2006-02-22,77.62,7.58
2006-02-23,77.85,7.35
2006-02-24,78.14,7.06
2006-02-25,78.31,6.89
2006-02-26,78.51,6.69
