t,H,d
2005-12-21,139.26,7.94
2005-12-22,139.18,8.02
2005-12-23,139.11,8.09
2005-12-24,139.04,8.16
2005-12-25,138.97,8.23
2005-12-26,138.91,8.29
2005-12-27,138.86,8.34
2005-12-28,138.77,8.43
2005-12-29,138.71,8.49
2005-12-30,138.74,8.46
2005-12-31,139.14,8.06
2006-01-01,139.74,7.46
2006-01-02,140.18,7.02
2006-01-03,140.26,6.94
2006-01-04,140.26,6.94
2006-01-05,140.21,6.99
2006-01-06,140.1,7.1
2006-01-07,139.92,7.28
2006-01-08,139.86,7.34
2006-01-09,139.72,7.48
2006-01-10,139.71,7.49
2006-01-11,139.73,7.47
2006-01-12,139.78,7.42
2006-01-13,139.87,7.33
2006-01-14,139.87,7.33
2006-01-15,139.89,7.31
2006-01-16,139.79,7.41
2006-01-17,139.77,7.43
2006-01-18,139.74,7.46
2006-01-19,139.81,7.39
2006-01-20,139.84,7.36
2006-01-21,139.79,7.41
2006-01-22,139.73,7.47
2006-01-23,139.65,7.55
2006-01-24,139.58,7.62
2006-01-25,139.49,7.71
2006-01-26,139.39,7.81
2006-01-27,139.3,7.9
2006-01-28,139.23,7.97
2006-01-29,139.15,8.05
2006-01-30,139.12,8.08
2006-01-31,139.1,8.1
2006-02-01,139.05,8.15
2006-02-02,139.0,8.2
2006-02-03,138.93,8.27
2006-02-04,138.83,8.37
2006-02-05,138.74,8.46
2006-02-06,138.67,8.53
2006-02-07,138.61,8.59
2006-02-08,138.59,8.61
2006-02-09,138.49,8.71
2006-02-10,138.39,8.81
2006-02-11,138.31,8.89
2006-02-12,138.24,8.96
2006-02-13,138.19,9.01
2006-02-14,138.12,9.08
2006-02-15,138.17,9.03
2006-02-16,138.49,8.71
2006-02-17,138.87,8.33
2006-02-18,139.21,7.99
2006-02-19,139.62,7.58
2006-02-20,140.46,6.74
2006-02-21,140.71,6.49
2006-02-22,140.76,6.44
2006-02-23,140.76,6.44
2006-02-24,140.74,6.46
2006-02-25,140.73,6.47
2006-02-26,140.65,6.55
2006-02-27,140.52,6.68
2006-02-28,140.4,6.8
2006-03-01,140.23,6.97
2006-03-02,140.1,7.1
2006-03-03,140.17,7.03
2006-03-04,140.45,6.75
2006-03-05,140.62,6.58
2006-03-06,140.69,6.51
2006-03-07,140.78,6.42
2006-03-08,140.91,6.29
2006-03-09,140.99,6.21
2006-03-10,140.94,6.26
2006-03-11,140.87,6.33
2006-03-12,140.78,6.42
2006-03-13,140.67,6.53
2006-03-14,140.52,6.68
2006-03-15,140.34,6.86
2006-03-16,140.16,7.04
2006-03-17,140.01,7.19
2006-03-18,139.87,7.33
2006-03-19,139.72,7.48
2006-03-20,139.58,7.62
2006-03-21,139.5,7.7
2006-03-22,139.57,7.63
2006-03-23,139.73,7.47
2006-03-24,140.16,7.04
2006-03-25,140.48,6.72
2006-03-26,140.96,6.24
2006-03-27,141.11,6.09
2006-03-28,141.02,6.18
2006-03-29,140.92,6.28
2006-03-30,141.02,6.18
2006-03-31,141.07,6.13
2006-04-01,140.98,6.22
2006-04-02,140.86,6.34
2006-04-03,140.76,6.44
2006-04-04,140.66,6.54
2006-04-05,140.47,6.73
2006-04-06,140.29,6.91
2006-04-07,140.12,7.08
2006-04-08,139.98,7.22
2006-04-09,139.81,7.39
2006-04-10,139.65,7.55
2006-04-11,139.53,7.67
2006-04-12,139.4,7.8
2006-04-13,139.29,7.91
2006-04-14,139.19,8.01
2006-04-15,139.12,8.08
2006-04-16,139.02,8.18
2006-04-17,138.95,8.25
2006-04-18,138.89,8.31
2006-04-19,138.83,8.37
2006-04-20,138.77,8.43
2006-04-21,138.69,8.51
2006-04-22,138.58,8.62
2006-04-23,138.52,8.68
