t,H,d
2003-12-04,146.49,4.64
2003-12-05,146.47,4.66
2003-12-06,146.47,4.66
2003-12-07,146.47,4.66
2003-12-08,146.47,4.66
2003-12-09,146.47,4.66
2003-12-10,146.46,4.67
2003-12-11,146.49,4.64
2003-12-12,146.5,4.63
2003-12-13,146.49,4.64
2003-12-14,146.5,4.63
2003-12-15,146.48,4.65
2003-12-16,146.47,4.66
2003-12-17,146.49,4.64
2003-12-18,146.49,4.64
2003-12-19,146.47,4.66
2003-12-20,146.49,4.64
2003-12-21,146.51,4.62
2003-12-22,146.52,4.61
2003-12-23,146.53,4.6
2003-12-24,146.55,4.58
2003-12-25,146.54,4.59
2003-12-26,146.56,4.57
2003-12-27,146.59,4.54
2003-12-28,146.77,4.36
2003-12-29,146.92,4.21
2003-12-30,146.95,4.18
2003-12-31,146.95,4.18
2004-01-01,147.02,4.11
2004-01-02,147.03,4.1
2004-01-03,147.04,4.09
2004-01-04,147.04,4.09
2004-01-05,147.05,4.08
2004-01-06,147.05,4.08
2004-01-07,147.06,4.07
2004-01-08,147.17,3.96
2004-01-09,147.23,3.9
2004-01-10,147.27,3.86
2004-01-11,147.31,3.82
2004-01-12,147.4,3.73
2004-01-13,147.57,3.56
2004-01-14,147.77,3.36
2004-01-15,147.81,3.32
2004-01-16,147.86,3.27
2004-01-17,147.89,3.24
2004-01-18,147.88,3.25
2004-01-19,147.92,3.21
2004-01-20,147.93,3.2
2004-01-21,147.93,3.2
2004-01-22,147.94,3.19
2004-01-23,147.93,3.2
2004-01-24,147.91,3.22
2004-01-25,147.93,3.2
2004-01-26,148.22,2.91
2004-01-27,148.43,2.7
2004-01-28,148.37,2.76
2004-01-29,148.32,2.81
2004-01-30,148.32,2.81
2004-01-31,148.33,2.8
2004-02-01,148.27,2.86
2004-02-02,148.25,2.88
2004-02-03,148.22,2.91
2004-02-04,148.19,2.94
2004-02-05,148.16,2.97
2004-02-06,148.16,2.97
2004-02-07,148.09,3.04
2004-02-08,148.07,3.06
2004-02-09,148.04,3.09
2004-02-10,148.03,3.1
2004-02-11,148.01,3.12
2004-02-12,147.98,3.15
2004-02-13,147.95,3.18
2004-02-14,147.95,3.18
2004-02-15,147.93,3.2
2004-02-16,147.9,3.23
2004-02-17,147.88,3.25
2004-02-18,147.86,3.27
2004-02-19,147.86,3.27
2004-02-20,147.85,3.28
2004-02-21,147.84,3.29
2004-02-22,147.8,3.33
2004-02-23,147.74,3.39
2004-02-24,147.74,3.39
2004-02-25,147.74,3.39
2004-02-26,147.73,3.4
2004-02-27,147.73,3.4
2004-02-28,147.72,3.41
2004-02-29,147.69,3.44
2004-03-01,147.68,3.45
2004-03-02,147.7,3.43
2004-03-03,147.75,3.38
2004-03-04,147.84,3.29
2004-03-05,147.89,3.24
2004-03-06,147.92,3.21
2004-03-07,147.92,3.21
2004-03-08,147.9,3.23
2004-03-09,147.89,3.24
2004-03-10,147.9,3.23
2004-03-11,147.93,3.2
2004-03-12,147.93,3.2
2004-03-13,147.86,3.27
2004-03-14,147.84,3.29
2004-03-15,147.82,3.31
2004-03-16,147.83,3.3
2004-03-17,147.82,3.31
2004-03-18,147.82,3.31
2004-03-19,147.83,3.3
2004-03-20,147.81,3.32
2004-03-21,147.8,3.33
2004-03-22,147.82,3.31
2004-03-23,147.86,3.27
2004-03-24,147.87,3.26
2004-03-25,147.91,3.22
2004-03-26,147.89,3.24
2004-03-27,147.91,3.22
2004-03-28,147.89,3.24
2004-03-29,147.88,3.25
2004-03-30,147.89,3.24
2004-03-31,147.88,3.25
2004-04-01,147.87,3.26
2004-04-02,147.83,3.3
2004-04-03,147.77,3.36
2004-04-04,147.75,3.38
2004-04-05,147.75,3.38
2004-04-06,147.76,3.37
2004-04-07,147.74,3.39
2004-04-08,147.72,3.41
2004-04-09,147.71,3.42
2004-04-10,147.7,3.43
2004-04-11,147.67,3.46
2004-04-12,147.65,3.48
2004-04-13,147.64,3.49
