t,H,d
2005-02-17,138.02,2.13
2005-02-18,138.0,2.15
2005-02-19,137.99,2.16
2005-02-20,137.98,2.17
2005-02-21,137.99,2.16
2005-02-22,138.02,2.13
2005-02-23,138.01,2.14
2005-02-24,138.09,2.06
2005-02-25,138.22,1.93
2005-02-26,138.29,1.86
2005-02-27,138.52,1.63
2005-02-28,138.59,1.56
2005-03-01,138.59,1.56
2005-03-02,138.56,1.59
2005-03-03,138.5,1.65
2005-03-04,138.48,1.67
2005-03-05,138.47,1.68
2005-03-06,138.42,1.73
2005-03-07,138.41,1.74
2005-03-08,138.38,1.77
2005-03-09,138.32,1.83
2005-03-10,138.29,1.86
2005-03-11,138.27,1.88
2005-03-12,138.24,1.91
2005-03-13,138.18,1.97
2005-03-14,138.13,2.02
2005-03-15,138.07,2.08
2005-03-16,138.04,2.11
2005-03-17,137.97,2.18
2005-03-18,137.96,2.19
2005-03-19,137.96,2.19
2005-03-20,137.96,2.19
2005-03-21,137.96,2.19
2005-03-22,137.9,2.25
2005-03-23,137.86,2.29
2005-03-24,137.82,2.33
2005-03-25,137.8,2.35
2005-03-26,137.82,2.33
2005-03-27,137.78,2.37
2005-03-28,137.74,2.41
2005-03-29,137.74,2.41
2005-03-30,137.69,2.46
2005-03-31,137.66,2.49
2005-04-01,137.66,2.49
2005-04-02,137.67,2.48
2005-04-03,137.63,2.52
2005-04-04,137.61,2.54
2005-04-05,137.6,2.55
2005-04-06,137.63,2.52
2005-04-07,137.63,2.52
2005-04-08,137.63,2.52
2005-04-09,137.6,2.55
2005-04-10,137.59,2.56
2005-04-11,137.57,2.58
2005-04-12,137.56,2.59
2005-04-13,137.59,2.56
2005-04-14,137.62,2.53
2005-04-15,137.63,2.52
2005-04-16,137.58,2.57
2005-04-17,137.58,2.57
2005-04-18,137.58,2.57
2005-04-19,137.55,2.6
2005-04-20,137.5,2.65
2005-04-21,137.49,2.66
2005-04-22,137.52,2.63
2005-04-23,137.62,2.53
2005-04-24,137.59,2.56
2005-04-25,137.56,2.59
2005-04-26,137.53,2.62
2005-04-27,137.54,2.61
2005-04-28,137.53,2.62
2005-04-29,137.52,2.63
2005-04-30,137.53,2.62
2005-05-01,137.5,2.65
2005-05-02,137.48,2.67
2005-05-03,137.47,2.68
2005-05-04,137.45,2.7
2005-05-05,137.43,2.72
2005-05-06,137.43,2.72
2005-05-07,137.43,2.72
2005-05-08,137.41,2.74
2005-05-09,137.4,2.75
2005-05-10,137.38,2.77
2005-05-11,137.36,2.79
2005-05-12,137.37,2.78
2005-05-13,137.36,2.79
2005-05-14,137.39,2.76
2005-05-15,137.38,2.77
2005-05-16,137.37,2.78
2005-05-17,137.34,2.81
2005-05-18,137.33,2.82
2005-05-19,137.32,2.83
2005-05-20,137.32,2.83
2005-05-21,137.32,2.83
2005-05-22,137.31,2.84
2005-05-23,137.31,2.84
2005-05-24,137.3,2.85
2005-05-25,137.28,2.87
2005-05-26,137.27,2.88
2005-05-27,137.28,2.87
2005-05-28,137.23,2.92
2005-05-29,137.22,2.93
2005-05-30,137.21,2.94
2005-05-31,137.2,2.95
2005-06-01,137.2,2.95
2005-06-02,137.2,2.95
2005-06-03,137.2,2.95
2005-06-04,137.17,2.98
2005-06-05,137.15,3.0
2005-06-06,137.17,2.98
2005-06-07,137.13,3.02
2005-06-08,137.13,3.02
2005-06-09,137.13,3.02
2005-06-10,137.13,3.02
2005-06-11,137.13,3.02
2005-06-12,137.12,3.03
2005-06-13,137.1,3.05
2005-06-14,137.08,3.07
2005-06-15,137.1,3.05
2005-06-16,137.08,3.07
2005-06-17,137.06,3.09
2005-06-18,137.07,3.08
2005-06-19,137.07,3.08
2005-06-20,137.04,3.11
2005-06-21,137.03,3.12
2005-06-22,137.02,3.13
2005-06-23,137.02,3.13
2005-06-24,137.01,3.14
2005-06-25,137.0,3.15
2005-06-26,136.98,3.17
2005-06-27,137.14,3.01
2005-06-28,137.16,2.99
2005-06-29,137.13,3.02
2005-06-30,137.11,3.04
2005-07-01,137.11,3.04
2005-07-02,137.08,3.07
2005-07-03,137.07,3.08
2005-07-04,137.05,3.1
2005-07-05,137.03,3.12
2005-07-06,137.04,3.11
2005-07-07,137.02,3.13
2005-07-08,137.01,3.14
2005-07-09,136.99,3.16
2005-07-10,136.97,3.18
2005-07-11,136.95,3.2
2005-07-12,136.95,3.2
2005-07-13,136.94,3.21
2005-07-14,136.94,3.21
2005-07-15,136.92,3.23
2005-07-16,136.91,3.24
2005-07-17,136.9,3.25
2005-07-18,136.9,3.25
2005-07-19,136.88,3.27
2005-07-20,136.87,3.28
2005-07-21,136.86,3.29
2005-07-22,136.86,3.29
2005-07-23,136.87,3.28
2005-07-24,136.94,3.21
2005-07-25,136.91,3.24
2005-07-26,136.96,3.19
2005-07-27,137.13,3.02
2005-07-28,137.09,3.06
2005-07-29,137.05,3.1
2005-07-30,137.02,3.13
2005-07-31,137.02,3.13
2005-08-01,136.99,3.16
2005-08-02,136.96,3.19
2005-08-03,136.93,3.22
2005-08-04,136.91,3.24
2005-08-05,136.9,3.25
2005-08-06,136.88,3.27
2005-08-07,136.87,3.28
2005-08-08,136.86,3.29
2005-08-09,136.85,3.3
2005-08-10,136.83,3.32
2005-08-11,136.82,3.33
2005-08-12,136.81,3.34
2005-08-13,136.79,3.36
2005-08-14,136.78,3.37
2005-08-15,136.77,3.38
2005-08-16,136.76,3.39
2005-08-17,136.76,3.39
2005-08-18,136.75,3.4
2005-08-19,136.73,3.42
2005-08-20,136.72,3.43
2005-08-21,136.71,3.44
2005-08-22,136.71,3.44
2005-08-23,136.7,3.45
2005-08-24,136.7,3.45
2005-08-25,136.84,3.31
2005-08-26,136.79,3.36
2005-08-27,136.76,3.39
2005-08-28,136.73,3.42
2005-08-29,136.71,3.44
2005-08-30,136.7,3.45
2005-08-31,136.69,3.46
2005-09-01,136.67,3.48
2005-09-02,136.66,3.49
2005-09-03,136.65,3.5
2005-09-04,136.64,3.51
2005-09-05,136.65,3.5
2005-09-06,136.64,3.51
2005-09-07,136.62,3.53
2005-09-08,136.61,3.54
2005-09-09,136.6,3.55
2005-09-10,136.64,3.51
2005-09-11,136.64,3.51
2005-09-12,136.61,3.54
2005-09-13,136.6,3.55
2005-09-14,136.59,3.56
2005-09-15,136.59,3.56
2005-09-16,136.6,3.55
2005-09-17,136.65,3.5
2005-09-18,136.62,3.53
2005-09-19,136.6,3.55
2005-09-20,136.58,3.57
2005-09-21,136.57,3.58
2005-09-22,136.56,3.59
2005-09-23,136.55,3.6
2005-09-24,136.55,3.6
2005-09-25,136.55,3.6
2005-09-26,136.54,3.61
2005-09-27,136.53,3.62
2005-09-28,136.53,3.62
2005-09-29,136.54,3.61
2005-09-30,136.53,3.62
2005-10-01,136.52,3.63
2005-10-02,136.54,3.61
2005-10-03,136.52,3.63
2005-10-04,136.51,3.64
2005-10-05,136.5,3.65
2005-10-06,136.5,3.65
2005-10-07,136.49,3.66
2005-10-08,136.48,3.67
2005-10-09,136.47,3.68
2005-10-10,136.46,3.69
2005-10-11,136.45,3.7
2005-10-12,136.45,3.7
2005-10-13,136.58,3.57
2005-10-14,136.61,3.54
2005-10-15,136.59,3.56
2005-10-16,136.57,3.58
2005-10-17,136.56,3.59
