t,H,d
2004-11-18,62.5,0.69
2004-11-19,62.51,0.68
2004-11-20,62.5,0.69
2004-11-21,62.53,0.66
2004-11-22,62.54,0.65
2004-11-23,62.53,0.66
2004-11-24,62.53,0.66
2004-11-25,62.58,0.61
2004-11-26,62.6,0.59
2004-11-27,62.59,0.6
2004-11-28,62.64,0.55
2005-06-21,61.99,1.2
2005-06-22,61.95,1.24
2005-06-23,61.94,1.25
2005-06-24,61.92,1.27
2005-06-25,61.85,1.34
2005-06-26,61.83,1.36
2005-06-27,61.86,1.33
2005-06-28,61.94,1.25
2005-06-29,61.94,1.25
2005-06-30,61.94,1.25
2005-07-01,61.89,1.3
2005-07-02,61.88,1.31
2005-07-03,61.89,1.3
2005-07-04,61.92,1.27
2005-07-05,61.87,1.32
2005-07-06,61.89,1.3
2005-07-07,61.83,1.36
2005-07-08,61.79,1.4
2005-07-09,61.75,1.44
2005-07-10,61.7,1.49
2005-07-11,61.65,1.54
2005-07-12,61.62,1.57
2005-07-13,61.62,1.57
2005-07-14,61.61,1.58
2005-07-15,61.57,1.62
2005-07-16,61.5,1.69
2005-07-17,61.46,1.73
2005-07-18,61.43,1.76
2005-07-19,61.32,1.87
2005-07-20,61.26,1.93
2005-07-21,61.22,1.97
2005-07-22,61.21,1.98
2005-07-23,61.19,2.0
2005-07-24,61.21,1.98
2005-07-25,61.14,2.05
2005-07-26,61.08,2.11
2005-07-27,61.08,2.11
2005-07-28,61.1,2.09
2005-07-29,61.06,2.13
2005-07-30,61.04,2.15
2005-07-31,61.05,2.14
2005-08-01,61.07,2.12
2005-08-02,61.06,2.13
2005-08-03,61.03,2.16
2005-08-04,61.0,2.19
2005-08-05,61.01,2.18
2005-08-06,60.99,2.2
2005-08-07,60.98,2.21
2005-08-08,60.94,2.25
2005-08-09,60.91,2.28
2005-08-10,60.87,2.32
2005-08-11,60.81,2.38
2005-08-12,60.76,2.43
2005-08-13,60.7,2.49
2005-08-14,60.66,2.53
2005-08-15,60.59,2.6
2005-08-16,60.55,2.64
2005-08-17,60.52,2.67
2005-08-18,60.48,2.71
2005-08-19,60.39,2.8
2005-08-20,60.32,2.87
2005-08-21,60.26,2.93
2005-08-22,60.23,2.96
2005-08-23,60.19,3.0
2005-08-24,60.17,3.02
2005-08-25,60.17,3.02
2005-08-26,60.12,3.07
2005-08-27,60.12,3.07
2005-08-28,60.09,3.1
2005-08-29,60.07,3.12
2005-08-30,60.04,3.15
2005-08-31,60.05,3.14
2005-09-01,59.97,3.22
2005-09-02,59.91,3.28
2005-09-03,59.89,3.3
2005-09-04,59.87,3.32
2005-09-05,59.84,3.35
2005-09-06,59.82,3.37
2005-09-07,59.75,3.44
2005-09-08,59.71,3.48
2005-09-09,59.67,3.52
2005-09-10,59.63,3.56
2005-09-11,59.57,3.62
2005-09-12,59.51,3.68
2005-09-13,59.46,3.73
2005-09-14,59.43,3.76
2005-09-15,59.42,3.77
2005-09-16,59.38,3.81
2005-09-17,59.32,3.87
2005-09-18,59.29,3.9
2005-09-19,59.25,3.94
2005-09-20,59.21,3.98
2005-09-21,59.17,4.02
2005-09-22,59.14,4.05
2005-09-23,59.1,4.09
2005-09-24,59.06,4.13
2005-09-25,59.03,4.16
2005-09-26,58.97,4.22
2005-09-27,58.93,4.26
2005-09-28,58.89,4.3
2005-09-29,58.86,4.33
2005-09-30,58.83,4.36
2005-10-01,58.8,4.39
2005-10-02,58.76,4.43
2005-10-03,58.74,4.45
2005-10-04,58.73,4.46
2005-10-05,58.73,4.46
2005-10-06,58.72,4.47
2005-10-07,58.72,4.47
2005-10-08,58.79,4.4
2005-10-09,58.76,4.43
2005-10-10,58.76,4.43
2005-10-11,58.74,4.45
2005-10-12,58.71,4.48
2005-10-13,58.68,4.51
2005-10-14,58.68,4.51
2005-10-15,58.69,4.5
2005-10-16,58.71,4.48
2005-10-17,58.72,4.47
2005-10-18,58.75,4.44
2005-10-19,58.77,4.42
2005-10-20,58.79,4.4
2005-10-21,58.85,4.34
2005-10-22,58.86,4.33
2005-10-23,58.86,4.33
2005-10-24,58.91,4.28
2005-10-25,58.98,4.21
2005-10-26,59.0,4.19
2005-10-27,59.07,4.12
2005-10-28,59.1,4.09
2005-10-29,59.14,4.05
2005-10-30,59.18,4.01
2005-10-31,59.21,3.98
2005-11-01,59.21,3.98
2005-11-02,59.26,3.93
2005-11-03,59.29,3.9
2005-11-04,59.29,3.9
2005-11-05,59.3,3.89
2005-11-06,59.36,3.83
2005-11-07,59.38,3.81
2005-11-08,59.46,3.73
2005-11-09,59.47,3.72
2005-11-10,59.51,3.68
2005-11-11,59.62,3.57
2005-11-12,59.74,3.45
2005-11-13,59.77,3.42
2005-11-14,59.83,3.36
2005-11-15,59.95,3.24
2005-11-16,60.03,3.16
2005-11-17,60.05,3.14
2005-11-18,60.07,3.12
2005-11-19,60.09,3.1
2005-11-20,60.11,3.08
2005-11-21,60.15,3.04
2005-11-22,60.18,3.01
2005-11-23,60.19,3.0
2005-11-24,60.28,2.91
2005-11-25,60.43,2.76
2005-11-26,60.48,2.71
2005-11-27,60.55,2.64
2005-11-28,60.76,2.43
2005-11-29,60.92,2.27
2005-11-30,61.07,2.12
2005-12-01,61.27,1.92
2005-12-02,61.54,1.65
2005-12-03,61.57,1.62
2005-12-04,61.7,1.49
2005-12-05,61.75,1.44
2005-12-06,61.86,1.33
2005-12-07,61.94,1.25
2005-12-08,62.07,1.12
2005-12-09,62.07,1.12
2005-12-10,62.15,1.04
2005-12-11,62.24,0.95
2005-12-12,62.34,0.85
2005-12-13,62.38,0.81
2005-12-14,62.48,0.71
