t,H,d
2005-02-17,75.88,9.27
2005-02-18,75.87,9.28
2005-02-19,75.88,9.27
2005-02-20,75.88,9.27
2005-02-21,75.88,9.27
2005-02-22,75.88,9.27
2005-02-23,75.86,9.29
2005-02-24,75.84,9.31
2005-02-25,75.84,9.31
2005-02-26,75.82,9.33
2005-02-27,75.8,9.35
2005-02-28,75.77,9.38
2005-03-01,75.78,9.37
2005-03-02,75.82,9.33
2005-03-03,75.81,9.34
2005-03-04,75.78,9.37
2005-03-05,75.78,9.37
2005-03-06,75.77,9.38
2005-03-07,75.74,9.41
2005-03-08,75.73,9.42
2005-03-09,75.73,9.42
2005-03-10,75.73,9.42
2005-03-11,75.75,9.4
2005-03-12,75.78,9.37
2005-03-13,75.79,9.36
2005-03-14,75.79,9.36
2005-03-15,75.77,9.38
2005-03-16,75.75,9.4
2005-03-17,75.72,9.43
2005-03-18,75.7,9.45
2005-03-19,75.71,9.44
2005-03-20,75.73,9.42
2005-03-21,75.75,9.4
2005-03-22,75.76,9.39
2005-03-23,75.74,9.41
2005-03-24,75.72,9.43
2005-03-25,75.71,9.44
2005-03-26,75.72,9.43
2005-03-27,75.74,9.41
2005-03-28,75.72,9.43
2005-03-29,75.72,9.43
2005-03-30,75.7,9.45
2005-03-31,75.68,9.47
2005-04-01,75.66,9.49
2005-04-02,75.67,9.48
2005-04-03,75.67,9.48
2005-04-04,75.66,9.49
2005-04-05,75.65,9.5
2005-04-06,75.66,9.49
2005-04-07,75.68,9.47
2005-04-08,75.7,9.45
2005-04-09,75.68,9.47
2005-04-10,75.66,9.49
2005-04-11,75.66,9.49
2005-04-12,75.67,9.48
2005-04-13,75.7,9.45
2005-04-14,75.74,9.41
2005-04-15,75.76,9.39
2005-04-16,75.76,9.39
2005-04-17,75.77,9.38
2005-04-18,75.79,9.36
2005-04-19,75.79,9.36
2005-04-20,75.78,9.37
2005-04-21,75.76,9.39
2005-04-22,75.76,9.39
2005-04-23,75.78,9.37
2005-04-24,75.81,9.34
2005-04-25,75.83,9.32
2005-04-26,75.86,9.29
2005-04-27,75.89,9.26
2005-04-28,75.92,9.23
2005-04-29,75.95,9.2
2005-04-30,75.97,9.18
2005-05-01,76.0,9.15
2005-05-02,76.03,9.12
2005-05-03,76.03,9.12
2005-05-04,76.03,9.12
2005-05-05,76.01,9.14
2005-05-06,76.01,9.14
2005-05-07,76.02,9.13
2005-05-08,76.02,9.13
2005-05-09,76.02,9.13
2005-05-10,76.02,9.13
2005-05-11,75.99,9.16
2005-05-12,75.98,9.17
2005-05-13,75.98,9.17
2005-05-14,75.97,9.18
2005-05-15,75.96,9.19
2005-05-16,75.96,9.19
2005-05-17,75.97,9.18
2005-05-18,75.97,9.18
2005-05-19,75.97,9.18
2005-05-20,75.98,9.17
2005-05-21,75.99,9.16
2005-05-22,75.99,9.16
2005-05-23,75.97,9.18
2005-05-24,75.96,9.19
2005-05-25,75.95,9.2
2005-05-26,75.95,9.2
2005-05-27,75.96,9.19
2005-05-28,75.95,9.2
2005-05-29,75.94,9.21
2005-05-30,75.93,9.22
2005-05-31,75.92,9.23
2005-06-01,75.93,9.22
2005-06-02,75.95,9.2
2005-06-03,75.97,9.18
2005-06-04,75.97,9.18
2005-06-05,75.95,9.2
2005-06-06,75.94,9.21
2005-06-07,75.9,9.25
2005-06-08,75.88,9.27
2005-06-09,75.87,9.28
2005-06-10,75.88,9.27
2005-06-11,75.89,9.26
2005-06-12,75.9,9.25
2005-06-13,75.9,9.25
2005-06-14,75.9,9.25
2005-06-15,75.88,9.27
2005-06-16,75.87,9.28
2005-06-17,75.86,9.29
2005-06-18,75.86,9.29
2005-06-19,75.89,9.26
2005-06-20,75.9,9.25
2005-06-21,75.87,9.28
2005-06-22,75.68,9.47
2005-06-23,75.69,9.46
2005-06-24,75.75,9.4
2005-06-25,75.79,9.36
2005-06-26,75.83,9.32
2005-06-27,75.87,9.28
2005-06-28,75.91,9.24
2005-06-29,75.92,9.23
2005-06-30,75.91,9.24
2005-07-01,75.9,9.25
2005-07-02,75.88,9.27
2005-07-03,75.88,9.27
2005-07-04,75.88,9.27
2005-07-05,75.88,9.27
2005-07-06,75.87,9.28
2005-07-07,75.85,9.3
2005-07-08,75.84,9.31
2005-07-09,75.82,9.33
2005-07-10,75.8,9.35
2005-07-11,75.79,9.36
2005-07-12,75.78,9.37
2005-07-13,75.79,9.36
2005-07-14,75.79,9.36
2005-07-15,75.8,9.35
2005-07-16,75.8,9.35
2005-07-17,75.8,9.35
2005-07-18,75.8,9.35
2005-07-19,75.79,9.36
2005-07-20,75.78,9.37
2005-07-21,75.78,9.37
2005-07-22,75.78,9.37
2005-07-23,75.78,9.37
2005-07-24,75.79,9.36
2005-07-25,75.8,9.35
2005-07-26,75.8,9.35
2005-07-27,75.81,9.34
2005-07-28,75.82,9.33
2005-07-29,75.84,9.31
2005-07-30,75.8,9.35
2005-07-31,75.81,9.34
2005-08-01,75.83,9.32
2005-08-02,75.84,9.31
2005-08-03,75.85,9.3
2005-08-04,75.86,9.29
2005-08-05,75.86,9.29
2005-08-06,75.8,9.35
2005-08-07,75.78,9.37
2005-08-08,75.77,9.38
2005-08-09,75.77,9.38
2005-08-10,75.77,9.38
2005-08-11,75.77,9.38
2005-08-12,75.77,9.38
2005-08-13,75.77,9.38
2005-08-14,75.77,9.38
2005-08-15,75.75,9.4
2005-08-16,75.75,9.4
2005-08-17,75.75,9.4
2005-08-18,75.75,9.4
2005-08-19,75.74,9.41
2005-08-20,75.72,9.43
2005-08-21,75.7,9.45
2005-08-22,75.69,9.46
2005-08-23,75.68,9.47
2005-08-24,75.68,9.47
2005-08-25,75.69,9.46
2005-08-26,75.68,9.47
2005-08-27,75.68,9.47
2005-08-28,75.68,9.47
2005-08-29,75.68,9.47
2005-08-30,75.68,9.47
2005-08-31,75.69,9.46
2005-09-01,75.69,9.46
2005-09-02,75.68,9.47
2005-09-03,75.67,9.48
2005-09-04,75.67,9.48
2005-09-05,75.67,9.48
2005-09-06,75.67,9.48
2005-09-07,75.66,9.49
2005-09-08,75.65,9.5
2005-09-09,75.66,9.49
2005-09-10,75.65,9.5
2005-09-11,75.64,9.51
2005-09-12,75.62,9.53
2005-09-13,75.6,9.55
2005-09-14,75.59,9.56
2005-09-15,75.58,9.57
2005-09-16,75.59,9.56
2005-09-17,75.57,9.58
2005-09-18,75.56,9.59
2005-09-19,75.56,9.59
2005-09-20,75.55,9.6
2005-09-21,75.54,9.61
2005-09-22,75.54,9.61
2005-09-23,75.54,9.61
2005-09-24,75.53,9.62
2005-09-25,75.53,9.62
2005-09-26,75.52,9.63
2005-09-27,75.51,9.64
2005-09-28,75.5,9.65
2005-09-29,75.5,9.65
2005-09-30,75.49,9.66
2005-10-01,75.49,9.66
2005-10-02,75.48,9.67
2005-10-03,75.46,9.69
2005-10-04,75.46,9.69
2005-10-05,75.45,9.7
2005-10-06,75.45,9.7
2005-10-07,75.45,9.7
2005-10-08,75.45,9.7
2005-10-09,75.44,9.71
2005-10-10,75.43,9.72
2005-10-11,75.43,9.72
2005-10-12,75.43,9.72
2005-10-13,75.42,9.73
2005-10-14,75.4,9.75
2005-10-15,75.4,9.75
2005-10-16,75.4,9.75
2005-10-17,75.41,9.74
2005-10-18,75.42,9.73
2005-10-19,75.43,9.72
2005-10-20,75.44,9.71
