t,H,d
2003-12-18,163.9,6.31
2003-12-19,163.9,6.31
2003-12-20,163.89,6.32
2003-12-21,163.89,6.32
2003-12-22,163.88,6.33
2003-12-23,163.88,6.33
2003-12-24,163.88,6.33
2003-12-25,163.88,6.33
2003-12-26,163.9,6.31
2003-12-27,163.9,6.31
2003-12-28,163.9,6.31
2003-12-29,163.92,6.29
2003-12-30,163.92,6.29
2003-12-31,163.93,6.28
2004-01-01,163.97,6.24
2004-01-02,163.98,6.23
2004-01-03,163.99,6.22
2004-01-04,164.01,6.2
2004-01-05,164.03,6.18
2004-01-06,164.04,6.17
2004-01-07,164.06,6.15
2004-01-08,164.08,6.13
2004-01-09,164.09,6.12
2004-01-10,164.1,6.11
2004-01-11,164.12,6.09
2004-01-12,164.15,6.06
2004-01-13,164.17,6.04
2004-01-14,164.24,5.97
2004-01-15,164.31,5.9
2004-01-16,164.4,5.81
2004-01-17,164.47,5.74
2004-01-18,164.51,5.7
2004-01-19,164.58,5.63
2004-01-20,164.63,5.58
2004-01-21,164.67,5.54
2004-01-22,164.71,5.5
2004-01-23,164.75,5.46
2004-01-24,164.77,5.44
2004-01-25,164.81,5.4
2004-01-26,164.87,5.34
2004-01-27,164.89,5.32
2004-01-28,164.95,5.26
2004-01-29,165.0,5.21
2004-01-30,165.07,5.14
2004-01-31,165.12,5.09
2004-02-01,165.15,5.06
2004-02-02,165.19,5.02
2004-02-03,165.21,5.0
2004-02-04,165.24,4.97
2004-02-05,165.26,4.95
2004-02-06,165.29,4.92
2004-02-07,165.3,4.91
2004-02-08,165.31,4.9
2004-02-09,165.3,4.91
2004-02-10,165.31,4.9
2004-02-11,165.33,4.88
2004-02-12,165.33,4.88
2004-02-13,165.33,4.88
2004-02-14,165.34,4.87
2004-02-15,165.34,4.87
2004-02-16,165.33,4.88
2004-02-17,165.33,4.88
2004-02-18,165.34,4.87
2004-02-19,165.35,4.86
2004-02-20,165.35,4.86
2004-02-21,165.36,4.85
2004-02-22,165.35,4.86
2004-02-23,165.3,4.91
2004-02-24,165.3,4.91
2004-02-25,165.33,4.88
2004-02-26,165.32,4.89
2004-02-27,165.32,4.89
2004-02-28,165.3,4.91
2004-02-29,165.27,4.94
2004-03-01,165.24,4.97
2004-03-02,165.23,4.98
2004-03-03,165.24,4.97
2004-03-04,165.25,4.96
2004-03-05,165.25,4.96
2004-03-06,165.22,4.99
2004-03-07,165.22,4.99
2004-03-08,165.2,5.01
2004-03-09,165.2,5.01
2004-03-10,165.2,5.01
2004-03-11,165.21,5.0
2004-03-12,165.24,4.97
2004-03-13,165.19,5.02
2004-03-14,165.17,5.04
2004-03-15,165.16,5.05
2004-03-16,165.16,5.05
2004-03-17,165.16,5.05
2004-03-18,165.16,5.05
2004-03-19,165.16,5.05
2004-03-20,165.15,5.06
2004-03-21,165.16,5.05
2004-03-22,165.15,5.06
2004-03-23,165.15,5.06
2004-03-24,165.16,5.05
2004-03-25,165.18,5.03
2004-03-26,165.2,5.01
2004-03-27,165.22,4.99
2004-03-28,165.23,4.98
2004-03-29,165.24,4.97
2004-03-30,165.26,4.95
2004-03-31,165.26,4.95
2004-04-01,165.27,4.94
2004-04-02,165.28,4.93
2004-04-03,165.25,4.96
2004-04-04,165.24,4.97
