t,H,d
2003-12-18,166.97,6.28
2003-12-19,166.97,6.28
2003-12-20,166.96,6.29
2003-12-21,166.96,6.29
2003-12-22,166.95,6.3
2003-12-23,166.95,6.3
2003-12-24,166.95,6.3
2003-12-25,166.95,6.3
2003-12-26,166.97,6.28
2003-12-27,166.97,6.28
2003-12-28,166.97,6.28
2003-12-29,166.99,6.26
2003-12-30,166.99,6.26
2003-12-31,167.0,6.25
2004-01-01,167.04,6.21
2004-01-02,167.05,6.2
2004-01-03,167.06,6.19
2004-01-04,167.08,6.17
2004-01-05,167.1,6.15
2004-01-06,167.11,6.14
2004-01-07,167.13,6.12
2004-01-08,167.15,6.1
2004-01-09,167.16,6.09
2004-01-10,167.17,6.08
2004-01-11,167.19,6.06
2004-01-12,167.22,6.03
2004-01-13,167.24,6.01
2004-01-14,167.31,5.94
2004-01-15,167.38,5.87
2004-01-16,167.47,5.78
2004-01-17,167.54,5.71
2004-01-18,167.58,5.67
2004-01-19,167.65,5.6
2004-01-20,167.7,5.55
2004-01-21,167.74,5.51
2004-01-22,167.78,5.47
2004-01-23,167.82,5.43
2004-01-24,167.84,5.41
2004-01-25,167.88,5.37
2004-01-26,167.94,5.31
2004-01-27,167.96,5.29
2004-01-28,168.02,5.23
2004-01-29,168.07,5.18
2004-01-30,168.14,5.11
2004-01-31,168.19,5.06
2004-02-01,168.22,5.03
2004-02-02,168.26,4.99
2004-02-03,168.28,4.97
2004-02-04,168.31,4.94
2004-02-05,168.33,4.92
2004-02-06,168.36,4.89
2004-02-07,168.37,4.88
2004-02-08,168.38,4.87
2004-02-09,168.37,4.88
2004-02-10,168.38,4.87
2004-02-11,168.4,4.85
2004-02-12,168.4,4.85
2004-02-13,168.4,4.85
2004-02-14,168.41,4.84
2004-02-15,168.41,4.84
2004-02-16,168.4,4.85
2004-02-17,168.4,4.85
2004-02-18,168.41,4.84
2004-02-19,168.42,4.83
2004-02-20,168.42,4.83
2004-02-21,168.43,4.82
2004-02-22,168.42,4.83
2004-02-23,168.37,4.88
2004-02-24,168.37,4.88
2004-02-25,168.4,4.85
2004-02-26,168.39,4.86
2004-02-27,168.39,4.86
2004-02-28,168.37,4.88
2004-02-29,168.34,4.91
2004-03-01,168.31,4.94
2004-03-02,168.3,4.95
2004-03-03,168.31,4.94
2004-03-04,168.32,4.93
2004-03-05,168.32,4.93
2004-03-06,168.29,4.96
2004-03-07,168.29,4.96
2004-03-08,168.27,4.98
2004-03-09,168.27,4.98
2004-03-10,168.27,4.98
2004-03-11,168.28,4.97
2004-03-12,168.31,4.94
2004-03-13,168.26,4.99
2004-03-14,168.24,5.01
2004-03-15,168.23,5.02
2004-03-16,168.23,5.02
2004-03-17,168.23,5.02
2004-03-18,168.23,5.02
2004-03-19,168.23,5.02
2004-03-20,168.22,5.03
2004-03-21,168.23,5.02
2004-03-22,168.22,5.03
2004-03-23,168.22,5.03
2004-03-24,168.23,5.02
2004-03-25,168.25,5.0
2004-03-26,168.27,4.98
2004-03-27,168.29,4.96
2004-03-28,168.3,4.95
2004-03-29,168.31,4.94
2004-03-30,168.33,4.92
2004-03-31,168.33,4.92
2004-04-01,168.34,4.91
2004-04-02,168.35,4.9
2004-04-03,168.32,4.93
2004-04-04,168.31,4.94
2004-04-05,168.31,4.94
2004-04-06,168.33,4.92
2004-04-07,168.33,4.92
2004-04-08,168.32,4.93
2004-04-09,168.32,4.93
2004-04-10,168.31,4.94
2004-04-11,168.3,4.95
2004-04-12,168.29,4.96
2004-04-13,168.29,4.96
2004-04-14,168.28,4.97
2004-04-15,168.3,4.95
2004-04-16,168.3,4.95
2004-04-17,168.3,4.95
2004-04-18,168.34,4.91
2004-04-19,168.32,4.93
2004-04-20,168.29,4.96
2004-04-21,168.28,4.97
2004-04-22,168.26,4.99
2004-04-23,168.24,5.01
2004-04-24,168.24,5.01
2004-04-25,168.24,5.01
2004-04-26,168.24,5.01
2004-04-27,168.26,4.99
2004-04-28,168.26,4.99
2004-04-29,168.26,4.99
2004-04-30,168.27,4.98
2004-05-01,168.24,5.01
2004-05-02,168.23,5.02
2004-05-03,168.22,5.03
2004-05-04,168.25,5.0
2004-05-05,168.25,5.0
2004-05-06,168.22,5.03
2004-05-07,168.22,5.03
2004-05-08,168.23,5.02
2004-05-09,168.24,5.01
2004-05-10,168.25,5.0
2004-05-11,168.25,5.0
2004-05-12,168.25,5.0
2004-05-13,168.25,5.0
2004-05-14,168.25,5.0
2004-05-15,168.25,5.0
2004-05-16,168.25,5.0
