t,H,d
2003-12-04,278.97,4.11
2003-12-05,278.81,4.27
2003-12-06,278.7,4.38
2003-12-07,278.58,4.5
2003-12-08,278.48,4.6
2003-12-09,278.39,4.69
2003-12-10,278.31,4.77
2003-12-11,278.25,4.83
2003-12-12,278.18,4.9
2003-12-13,278.14,4.94
2003-12-14,278.09,4.99
2003-12-15,278.05,5.03
2003-12-16,278.02,5.06
2003-12-17,278.0,5.08
2003-12-18,277.97,5.11
2003-12-19,277.93,5.15
2003-12-20,277.92,5.16
2003-12-21,277.88,5.2
2003-12-22,277.85,5.23
2003-12-23,277.86,5.22
2003-12-24,277.86,5.22
2003-12-25,277.87,5.21
2003-12-26,277.91,5.17
2003-12-27,277.92,5.16
2003-12-28,278.09,4.99
2003-12-29,278.52,4.56
2003-12-30,278.82,4.26
2003-12-31,278.79,4.29
2004-01-01,278.72,4.36
2004-01-02,278.67,4.41
2004-01-03,278.62,4.46
2004-01-04,278.56,4.52
2004-01-05,278.49,4.59
2004-01-06,278.42,4.66
2004-01-07,278.35,4.73
2004-01-08,278.38,4.7
2004-01-09,278.59,4.49
2004-01-10,278.66,4.42
2004-01-11,278.63,4.45
2004-01-12,278.64,4.44
2004-01-13,279.12,3.96
2004-01-14,279.65,3.43
2004-01-15,279.44,3.64
2004-01-16,279.39,3.69
2004-01-17,279.32,3.76
2004-01-18,279.2,3.88
2004-01-19,279.1,3.98
2004-01-20,278.97,4.11
2004-01-21,278.84,4.24
2004-01-22,278.73,4.35
2004-01-23,278.61,4.47
2004-01-24,278.51,4.57
2004-01-25,278.47,4.61
2004-01-26,278.49,4.59
2004-01-27,278.93,4.15
2004-01-28,279.04,4.04
2004-01-29,279.0,4.08
2004-01-30,278.95,4.13
2004-01-31,278.86,4.22
2004-02-01,278.88,4.2
2004-02-02,278.91,4.17
2004-02-03,278.83,4.25
2004-02-04,278.72,4.36
2004-02-05,278.61,4.47
2004-02-06,278.51,4.57
2004-02-07,278.38,4.7
2004-02-08,278.29,4.79
2004-02-09,278.2,4.88
2004-02-10,278.13,4.95
2004-02-11,278.07,5.01
2004-02-12,278.02,5.06
2004-02-13,277.97,5.11
2004-02-14,277.92,5.16
2004-02-15,277.88,5.2
2004-02-16,277.83,5.25
2004-02-17,277.8,5.28
2004-02-18,277.76,5.32
2004-02-19,277.74,5.34
2004-02-20,277.71,5.37
2004-02-21,277.69,5.39
2004-02-22,277.66,5.42
2004-02-23,277.63,5.45
2004-02-24,277.61,5.47
2004-02-25,277.6,5.48
2004-02-26,277.59,5.49
2004-02-27,277.57,5.51
2004-02-28,277.55,5.53
2004-02-29,277.52,5.56
2004-03-01,277.51,5.57
2004-03-02,277.51,5.57
2004-03-03,277.52,5.56
2004-03-04,277.58,5.5
2004-03-05,277.8,5.28
2004-03-06,278.02,5.06
2004-03-07,278.18,4.9
2004-03-08,278.24,4.84
2004-03-09,278.24,4.84
2004-03-10,278.21,4.87
2004-03-11,278.18,4.9
2004-03-12,278.14,4.94
2004-03-13,278.07,5.01
2004-03-14,278.01,5.07
2004-03-15,277.97,5.11
2004-03-16,277.97,5.11
2004-03-17,277.97,5.11
2004-03-18,277.98,5.1
2004-03-19,277.97,5.11
2004-03-20,277.94,5.14
2004-03-21,277.92,5.16
2004-03-22,277.94,5.14
2004-03-23,278.08,5.0
2004-03-24,278.28,4.8
2004-03-25,278.51,4.57
2004-03-26,278.58,4.5
2004-03-27,278.55,4.53
2004-03-28,278.47,4.61
2004-03-29,278.38,4.7
2004-03-30,278.31,4.77
2004-03-31,278.24,4.84
2004-04-01,278.17,4.91
2004-04-02,278.09,4.99
2004-04-03,278.02,5.06
2004-04-04,277.95,5.13
2004-04-05,277.9,5.18
2004-04-06,277.85,5.23
2004-04-07,277.8,5.28
2004-04-08,277.76,5.32
2004-04-09,277.72,5.36
2004-04-10,277.68,5.4
2004-04-11,277.64,5.44
2004-04-12,277.61,5.47
2004-04-13,277.57,5.51
2004-04-14,277.55,5.53
2004-04-15,277.52,5.56
2004-04-16,277.5,5.58
2004-04-17,277.47,5.61
2004-04-18,277.46,5.62
2004-04-19,277.44,5.64
2004-04-20,277.42,5.66
2004-04-21,277.42,5.66
2004-04-22,277.4,5.68
