t,H,d
2003-12-03,235.82,4.33
2003-12-04,235.94,4.21
2003-12-05,236.04,4.11
2003-12-06,236.16,3.99
2003-12-07,236.26,3.89
2003-12-08,236.35,3.8
2003-12-09,236.42,3.73
2003-12-10,236.48,3.67
2003-12-11,236.55,3.6
2003-12-12,236.55,3.6
2003-12-13,236.61,3.54
2003-12-14,236.63,3.52
2003-12-15,236.65,3.5
2003-12-16,236.7,3.45
2003-12-17,236.75,3.4
2003-12-18,236.79,3.36
2003-12-19,236.8,3.35
2003-12-20,236.85,3.3
2003-12-21,236.84,3.31
2003-12-22,236.81,3.34
2003-12-23,236.88,3.27
2003-12-24,236.9,3.25
2003-12-25,236.95,3.2
2003-12-26,237.02,3.13
2003-12-27,237.04,3.11
2003-12-28,237.05,3.1
2003-12-29,237.21,2.94
2003-12-30,237.25,2.9
2003-12-31,237.32,2.83
2004-01-01,237.47,2.68
2004-01-02,237.57,2.58
2004-01-03,237.68,2.47
2004-01-04,237.78,2.37
2004-01-05,237.89,2.26
2004-01-06,237.98,2.17
2004-01-07,238.07,2.08
2004-01-08,238.19,1.96
2004-01-09,238.25,1.9
2004-01-10,238.33,1.82
2004-01-11,238.42,1.73
2004-01-12,238.53,1.62
2004-01-13,238.61,1.54
2004-01-14,238.68,1.47
2004-01-15,238.72,1.43
2004-01-16,238.8,1.35
2004-01-17,238.87,1.28
2004-01-18,238.81,1.34
2004-01-19,238.9,1.25
2004-01-20,238.96,1.19
2004-01-21,238.98,1.17
2004-01-22,239.03,1.12
2004-01-23,239.06,1.09
2004-01-24,239.07,1.08
2004-01-25,239.12,1.03
2004-01-26,239.2,0.95
2004-01-27,239.14,1.01
2004-01-28,239.18,0.97
2004-01-29,239.18,0.97
2004-01-30,239.21,0.94
2004-01-31,239.27,0.88
2004-02-01,239.18,0.97
2004-02-02,239.19,0.96
2004-02-03,239.2,0.95
2004-02-04,239.21,0.94
2004-02-05,239.22,0.93
2004-02-06,239.26,0.89
2004-02-07,239.22,0.93
2004-02-08,239.19,0.96
2004-02-09,239.15,1.0
2004-02-10,239.16,0.99
2004-02-11,239.18,0.97
2004-02-12,239.16,0.99
2004-02-13,239.15,1.0
2004-02-14,239.17,0.98
2004-02-15,239.16,0.99
2004-02-16,239.13,1.02
2004-02-17,239.11,1.04
2004-02-18,239.12,1.03
2004-02-19,239.16,0.99
2004-02-20,239.18,0.97
2004-02-21,239.2,0.95
2004-02-22,239.17,0.98
2004-02-23,239.12,1.03
2004-02-24,239.15,1.0
2004-02-25,239.22,0.93
2004-02-26,239.24,0.91
2004-02-27,239.29,0.86
2004-02-28,239.23,0.92
2004-02-29,239.17,0.98
2004-03-01,239.14,1.01
2004-03-02,239.16,0.99
2004-03-03,239.24,0.91
2004-03-04,239.32,0.83
2004-03-05,239.33,0.82
2004-03-06,239.32,0.83
2004-03-07,239.31,0.84
2004-03-08,239.29,0.86
2004-03-09,239.29,0.86
2004-03-10,239.32,0.83
2004-03-11,239.36,0.79
2004-03-12,239.39,0.76
2004-03-13,239.3,0.85
2004-03-14,239.28,0.87
2004-03-15,239.26,0.89
2004-03-16,239.28,0.87
2004-03-17,239.31,0.84
2004-03-18,239.32,0.83
2004-03-19,239.33,0.82
2004-03-20,239.33,0.82
2004-03-21,239.36,0.79
2004-03-22,239.36,0.79
2004-03-23,239.36,0.79
2004-03-24,239.34,0.81
2004-03-25,239.35,0.8
2004-03-26,239.35,0.8
2004-03-27,239.36,0.79
2004-03-28,239.35,0.8
2004-03-29,239.33,0.82
2004-03-30,239.35,0.8
2004-03-31,239.36,0.79
2004-04-01,239.34,0.81
2004-04-02,239.3,0.85
2004-04-03,239.23,0.92
2004-04-04,239.23,0.92
