t,H,d
2003-12-03,66.97,1.15
2003-12-04,67.07,1.05
2003-12-05,67.11,1.01
2003-12-06,67.16,0.96
2003-12-07,67.18,0.94
2003-12-08,67.19,0.93
2003-12-09,67.2,0.92
2003-12-10,67.19,0.93
2003-12-11,67.19,0.93
2003-12-12,67.15,0.97
2003-12-13,67.15,0.97
2003-12-14,67.13,0.99
2003-12-15,67.11,1.01
2003-12-16,67.1,1.02
2003-12-17,67.12,1.0
2003-12-18,67.12,1.0
2003-12-19,67.09,1.03
2003-12-20,67.09,1.03
2003-12-21,67.06,1.06
2003-12-22,67.01,1.11
2003-12-23,67.05,1.07
2003-12-24,67.07,1.05
2003-12-25,67.1,1.02
2003-12-26,67.18,0.94
2003-12-27,67.2,0.92
2003-12-28,67.26,0.86
2003-12-29,67.41,0.71
2003-12-30,67.46,0.66
2003-12-31,67.48,0.64
2004-02-10,67.51,0.61
2004-02-11,67.5,0.62
2004-02-12,67.47,0.65
2004-02-13,67.45,0.67
2004-02-14,67.44,0.68
2004-02-15,67.42,0.7
2004-02-16,67.35,0.77
2004-02-17,67.27,0.85
2004-02-18,67.23,0.89
2004-02-19,67.2,0.92
2004-02-20,67.18,0.94
2004-02-21,67.17,0.95
2004-02-22,67.15,0.97
2004-02-23,67.08,1.04
2004-02-24,67.05,1.07
2004-02-25,67.06,1.06
2004-02-26,67.05,1.07
2004-02-27,67.07,1.05
2004-02-28,67.04,1.08
2004-02-29,67.02,1.1
2004-03-01,67.01,1.11
2004-03-02,67.03,1.09
2004-03-03,67.08,1.04
2004-03-04,67.2,0.92
2004-03-05,67.31,0.81
2004-03-06,67.33,0.79
2004-03-07,67.33,0.79
2004-03-08,67.31,0.81
2004-03-09,67.29,0.83
2004-03-10,67.28,0.84
2004-03-11,67.28,0.84
2004-03-12,67.3,0.82
2004-03-13,67.27,0.85
2004-03-14,67.25,0.87
2004-03-15,67.23,0.89
2004-03-16,67.22,0.9
2004-03-17,67.22,0.9
2004-03-18,67.2,0.92
2004-03-19,67.19,0.93
2004-03-20,67.17,0.95
2004-03-21,67.16,0.96
2004-03-22,67.14,0.98
2004-03-23,67.13,0.99
2004-03-24,67.13,0.99
2004-03-25,67.12,1.0
