t,H,d
2005-01-25,44.13,0.25
2005-07-19,44.14,0.24
2006-02-03,44.15,0.23
2006-02-08,44.15,0.49
2006-07-20,44.64,0.0
2006-12-14,44.64,0.0
2007-02-19,45.28,-0.64
2007-05-18,44.51,0.05
2007-07-06,45.51,-0.95
2008-01-14,44.88,-0.32
2008-01-15,44.92,-0.36
2008-03-17,44.88,-0.32
2008-04-02,44.81,-0.25
2008-04-15,44.79,-0.23
2008-04-16,44.77,-0.21
2008-04-17,44.76,-0.2
2008-04-18,44.77,-0.21
2008-04-19,44.78,-0.22
2008-04-20,44.79,-0.23
2008-04-21,44.79,-0.23
2008-04-22,44.8,-0.24
2008-04-23,44.79,-0.23
2008-04-24,44.78,-0.22
2008-04-25,44.77,-0.21
2008-04-26,44.77,-0.21
2008-04-27,44.77,-0.21
2008-04-28,44.78,-0.22
2008-04-29,44.78,-0.22
2008-04-30,44.79,-0.23
2008-05-01,44.79,-0.23
2008-05-02,44.79,-0.23
2008-05-03,44.79,-0.23
2008-05-04,44.79,-0.23
2008-05-05,44.79,-0.23
2008-05-06,44.79,-0.23
2008-05-07,44.79,-0.23
2008-05-08,44.79,-0.23
2008-05-09,44.79,-0.23
2008-05-10,44.78,-0.22
2008-05-11,44.77,-0.21
2008-05-12,44.75,-0.19
2008-05-13,44.74,-0.18
2008-05-14,44.72,-0.16
2008-05-15,44.71,-0.15
2008-05-16,44.69,-0.13
2008-05-17,44.68,-0.12
2008-05-18,44.66,-0.1
2008-05-19,44.64,-0.08
2008-05-20,44.63,-0.07
2008-05-21,44.63,-0.07
2008-05-22,44.63,-0.07
2008-05-23,44.63,-0.07
2008-05-24,44.63,-0.07
2008-05-25,44.64,-0.08
2008-05-26,44.64,-0.08
2008-05-27,44.65,-0.09
2008-05-28,44.66,-0.1
2008-05-29,44.66,-0.1
2008-05-30,44.66,-0.1
2008-05-31,44.66,-0.1
2008-06-01,44.66,-0.1
2008-06-02,44.66,-0.1
2008-06-03,44.65,-0.09
2008-06-04,44.64,-0.08
2008-06-05,44.63,-0.07
2008-06-06,44.63,-0.07
2008-06-07,44.61,-0.05
2008-06-08,44.59,-0.03
2008-06-09,44.58,-0.02
2008-06-10,44.58,-0.02
2008-06-11,44.57,-0.01
2008-06-12,44.57,-0.01
2008-06-13,44.56,0.0
2008-06-14,44.55,0.01
2008-06-15,44.54,0.02
2008-06-16,44.52,0.04
2008-06-17,44.52,0.04
2008-06-18,44.51,0.05
2008-06-19,44.5,0.06
2008-06-20,44.5,0.06
2008-06-21,44.5,0.06
2008-06-22,44.5,0.06
2008-06-23,44.5,0.06
2008-06-24,44.49,0.07
2008-06-25,44.49,0.07
2008-06-26,44.49,0.07
2008-06-27,44.48,0.08
2008-06-28,44.48,0.08
2008-06-29,44.48,0.08
2008-06-30,44.47,0.09
2008-07-01,44.47,0.09
2008-07-02,44.47,0.09
2008-07-03,44.47,0.09
2008-07-04,44.47,0.09
2008-07-05,44.46,0.1
2008-07-06,44.46,0.1
2008-07-07,44.46,0.1
2008-07-08,44.45,0.11
2008-07-09,44.44,0.12
2008-07-10,44.44,0.12
2008-07-11,44.43,0.13
2008-07-12,44.43,0.13
2008-07-13,44.42,0.14
2008-07-14,44.4,0.16
2008-07-15,44.39,0.17
2008-07-16,44.39,0.17
2008-07-17,44.39,0.17
2008-07-18,44.39,0.17
2008-07-19,44.39,0.17
2008-07-20,44.39,0.17
2008-07-21,44.38,0.18
2008-07-22,44.38,0.18
2008-07-23,44.37,0.19
2008-07-24,44.37,0.19
2008-07-25,44.37,0.19
2008-07-26,44.37,0.19
2008-07-27,44.37,0.19
2008-07-28,44.37,0.19
2008-07-29,44.37,0.19
2008-07-30,44.37,0.19
2008-07-31,44.37,0.19
2008-08-01,44.37,0.19
2008-08-02,44.37,0.19
2008-08-03,44.37,0.19
2008-08-04,44.37,0.19
2008-08-05,44.37,0.19
2008-08-06,44.37,0.19
2008-08-07,44.37,0.19
2008-08-08,44.36,0.2
2008-08-09,44.35,0.21
2008-08-10,44.35,0.21
2008-08-11,44.34,0.22
2008-08-12,44.34,0.22
2008-08-13,44.33,0.23
2008-08-14,44.32,0.24
2008-08-15,44.31,0.25
2008-08-16,44.3,0.26
2008-08-17,44.29,0.27
2008-08-18,44.29,0.27
2008-08-19,44.28,0.28
2008-08-20,44.28,0.28
2008-08-21,44.27,0.29
2008-08-22,44.27,0.29
2008-08-23,44.26,0.3
2008-08-24,44.26,0.3
2008-08-25,44.25,0.31
2008-08-26,44.24,0.32
2008-08-27,44.24,0.32
2008-08-28,44.23,0.33
2008-08-29,44.23,0.33
2008-08-30,44.23,0.33
2008-08-31,44.23,0.33
2008-09-01,44.23,0.33
2008-09-02,44.22,0.34
2008-09-03,44.22,0.34
