t,H,d
2005-12-22,109.66,6.59
2005-12-23,109.64,6.61
2005-12-24,109.62,6.63
2005-12-25,109.6,6.65
2005-12-26,109.58,6.67
2005-12-27,109.57,6.68
2005-12-28,109.52,6.73
2005-12-29,109.5,6.75
2005-12-30,109.56,6.69
2005-12-31,109.78,6.47
2006-01-01,109.86,6.39
2006-01-02,109.91,6.34
2006-01-03,109.94,6.31
2006-01-04,110.0,6.25
2006-01-05,110.04,6.21
2006-01-06,110.0,6.25
2006-01-07,109.94,6.31
2006-01-08,109.9,6.35
2006-01-09,109.86,6.39
2006-01-10,109.85,6.4
2006-01-11,109.86,6.39
2006-01-12,109.9,6.35
2006-01-13,109.97,6.28
2006-01-14,109.94,6.31
2006-01-15,109.98,6.27
2006-01-16,109.93,6.32
2006-01-17,109.94,6.31
2006-01-18,109.93,6.32
2006-01-19,109.96,6.29
2006-01-20,109.98,6.27
2006-01-21,109.93,6.32
2006-01-22,109.91,6.34
2006-01-23,109.9,6.35
2006-01-24,109.89,6.36
2006-01-25,109.85,6.4
2006-01-26,109.8,6.45
2006-01-27,109.76,6.49
2006-01-28,109.73,6.52
2006-01-29,109.71,6.54
2006-01-30,109.7,6.55
2006-01-31,109.69,6.56
2006-02-01,109.69,6.56
2006-02-02,109.68,6.57
2006-02-03,109.66,6.59
2006-02-04,109.6,6.65
2006-02-05,109.56,6.69
2006-02-06,109.54,6.71
2006-02-07,109.53,6.72
2006-02-08,109.56,6.69
2006-02-09,109.5,6.75
2006-02-10,109.46,6.79
2006-02-11,109.43,6.82
2006-02-12,109.4,6.85
2006-02-13,109.41,6.84
2006-02-14,109.4,6.85
2006-02-15,109.45,6.8
2006-02-16,109.69,6.56
2006-02-17,109.93,6.32
2006-02-18,110.1,6.15
2006-02-19,110.48,5.77
2006-02-20,110.75,5.5
2006-02-21,110.67,5.58
2006-02-22,110.6,5.65
2006-02-23,110.48,5.77
2006-02-24,110.49,5.76
2006-02-25,110.51,5.74
2006-02-26,110.43,5.82
2006-02-27,110.32,5.93
2006-02-28,110.29,5.96
2006-03-01,110.21,6.04
2006-03-02,110.17,6.08
2006-03-03,110.21,6.04
2006-03-04,110.28,5.97
2006-03-05,110.42,5.83
2006-03-06,110.43,5.82
2006-03-07,110.48,5.77
2006-03-08,110.7,5.55
2006-03-09,110.75,5.5
2006-03-10,110.68,5.57
2006-03-11,110.58,5.67
2006-03-12,110.48,5.77
2006-03-13,110.41,5.84
2006-03-14,110.32,5.93
2006-03-15,110.23,6.02
2006-03-16,110.13,6.12
2006-03-17,110.09,6.16
2006-03-18,110.05,6.2
2006-03-19,109.99,6.26
2006-03-20,109.94,6.31
2006-03-21,109.9,6.35
2006-03-22,109.85,6.4
2006-03-23,109.83,6.42
2006-03-24,109.9,6.35
2006-03-25,109.85,6.4
2006-03-26,110.14,6.11
2006-03-27,110.48,5.77
2006-03-28,110.48,5.77
2006-03-29,110.42,5.83
2006-03-30,110.51,5.74
2006-03-31,110.66,5.59
2006-04-01,110.62,5.63
2006-04-02,110.55,5.7
2006-04-03,110.45,5.8
2006-04-04,110.43,5.82
2006-04-05,110.34,5.91
2006-04-06,110.24,6.01
2006-04-07,110.17,6.08
2006-04-08,110.12,6.13
2006-04-09,110.05,6.2
2006-04-10,109.97,6.28
2006-04-11,109.93,6.32
2006-04-12,109.91,6.34
2006-04-13,109.88,6.37
2006-04-14,109.87,6.38
2006-04-15,109.9,6.35
2006-04-16,109.84,6.41
2006-04-17,109.82,6.43
2006-04-18,109.81,6.44
2006-04-19,109.82,6.43
2006-04-20,109.81,6.44
2006-04-21,109.8,6.45
2006-04-22,109.76,6.49
2006-04-23,109.77,6.48
2006-04-24,109.78,6.47
2006-04-25,109.76,6.49
2006-04-26,109.75,6.5
2006-04-27,109.74,6.51
2006-04-28,109.73,6.52
2006-04-29,109.74,6.51
2006-04-30,109.75,6.5
2006-05-01,109.77,6.48
2006-05-02,109.75,6.5
2006-05-03,109.7,6.55
2006-05-04,109.69,6.56
2006-05-05,109.63,6.62
2006-05-06,109.64,6.61
2006-05-07,109.63,6.62
2006-05-08,109.63,6.62
2006-05-09,109.59,6.66
2006-05-10,109.58,6.67
2006-05-11,109.58,6.67
2006-05-12,109.56,6.69
2006-05-13,109.52,6.73
2006-05-14,109.51,6.74
2006-05-15,109.52,6.73
2006-05-16,109.49,6.76
2006-05-17,109.49,6.76
2006-05-18,109.46,6.79
2006-05-19,109.44,6.81
2006-05-20,109.52,6.73
2006-05-21,109.59,6.66
2006-05-22,109.63,6.62
