t,H,d
2004-11-17,132.91,2.06
2004-11-18,132.88,2.09
2004-11-19,132.84,2.13
2004-11-20,132.8,2.17
2004-11-21,132.76,2.21
2004-11-22,132.72,2.25
2004-11-23,132.67,2.3
2004-11-24,132.63,2.34
2004-11-25,132.59,2.38
2004-11-26,132.55,2.42
2004-11-27,132.5,2.47
2004-11-28,132.47,2.5
2004-11-29,132.41,2.56
2004-11-30,132.38,2.59
2004-12-01,132.35,2.62
2004-12-02,132.29,2.68
2004-12-03,132.22,2.75
2004-12-04,132.17,2.8
2004-12-05,132.12,2.85
2004-12-06,132.07,2.9
2004-12-07,132.02,2.95
2004-12-08,131.98,2.99
2004-12-09,131.94,3.03
2004-12-10,131.89,3.08
2004-12-11,131.84,3.13
2004-12-12,131.8,3.17
2004-12-13,131.75,3.22
2004-12-14,131.7,3.27
2004-12-15,131.66,3.31
2004-12-16,131.63,3.34
2004-12-17,131.59,3.38
2004-12-18,131.54,3.43
2004-12-19,131.53,3.44
2004-12-20,131.51,3.46
2004-12-21,131.53,3.44
2004-12-22,131.54,3.43
2004-12-23,131.56,3.41
2004-12-24,131.6,3.37
2004-12-25,131.66,3.31
2004-12-26,131.77,3.2
2004-12-27,131.91,3.06
2004-12-28,132.05,2.92
2004-12-29,132.12,2.85
2004-12-30,132.2,2.77
2004-12-31,132.26,2.71
2005-01-01,132.29,2.68
2005-01-02,132.29,2.68
2005-01-03,132.29,2.68
2005-01-04,132.3,2.67
2005-01-05,132.3,2.67
2005-01-06,132.27,2.7
2005-01-07,132.26,2.71
2005-01-08,132.25,2.72
2005-01-09,132.23,2.74
2005-01-10,132.23,2.74
2005-01-11,132.27,2.7
2005-01-12,132.36,2.61
2005-01-13,132.46,2.51
2005-01-14,132.51,2.46
2005-01-15,132.53,2.44
2005-01-16,132.53,2.44
2005-01-17,132.53,2.44
2005-01-18,132.54,2.43
2005-01-19,132.53,2.44
2005-01-20,132.56,2.41
2005-01-21,132.59,2.38
2005-01-22,132.62,2.35
2005-01-23,132.62,2.35
2005-01-24,132.62,2.35
2005-01-25,132.62,2.35
2005-01-26,132.6,2.37
2005-01-27,132.59,2.38
2005-01-28,132.56,2.41
2005-01-29,132.52,2.45
2005-01-30,132.47,2.5
2005-01-31,132.43,2.54
2005-02-01,132.39,2.58
2005-02-02,132.34,2.63
2005-02-03,132.3,2.67
2005-02-04,132.26,2.71
2005-02-05,132.23,2.74
2005-02-06,132.18,2.79
2005-02-07,132.13,2.84
2005-02-08,132.08,2.89
2005-02-09,132.03,2.94
2005-02-10,131.98,2.99
2005-02-11,131.94,3.03
2005-02-12,131.91,3.06
2005-02-13,131.87,3.1
2005-02-14,131.83,3.14
2005-02-15,131.8,3.17
2005-02-16,131.77,3.2
2005-02-17,131.75,3.22
2005-02-18,131.73,3.24
2005-02-19,131.7,3.27
2005-02-20,131.68,3.29
2005-02-21,131.66,3.31
2005-02-22,131.63,3.34
2005-02-23,131.6,3.37
2005-02-24,131.57,3.4
2005-02-25,131.54,3.43
2005-02-26,131.5,3.47
2005-02-27,131.46,3.51
2005-02-28,131.42,3.55
2005-03-01,131.41,3.56
2005-03-02,131.39,3.58
2005-03-03,131.34,3.63
2005-03-04,131.31,3.66
2005-03-05,131.28,3.69
2005-03-06,131.24,3.73
2005-03-07,131.21,3.76
2005-03-08,131.18,3.79
2005-03-09,131.15,3.82
2005-03-10,131.13,3.84
2005-03-11,131.12,3.85
2005-03-12,131.1,3.87
2005-03-13,131.08,3.89
2005-03-14,131.06,3.91
2005-03-15,131.03,3.94
2005-03-16,131.01,3.96
2005-03-17,130.98,3.99
2005-03-18,130.96,4.01
2005-03-19,130.95,4.02
2005-03-20,130.93,4.04
