t,H,d
2005-02-16,242.84,12.31
2005-02-17,242.86,12.29
2005-02-18,242.87,12.28
2005-02-19,242.87,12.28
2005-02-20,242.85,12.3
2005-02-21,242.83,12.32
2005-02-22,242.81,12.34
2005-02-23,242.81,12.34
2005-02-24,242.78,12.37
2005-02-25,242.75,12.4
2005-02-26,242.68,12.47
2005-02-27,242.61,12.54
2005-02-28,242.54,12.61
2005-03-01,242.53,12.62
2005-03-02,242.5,12.65
2005-03-03,242.36,12.79
2005-03-04,242.24,12.91
2005-03-05,242.13,13.02
2005-03-06,241.98,13.17
2005-03-07,241.85,13.3
2005-03-08,241.76,13.39
2005-03-09,241.67,13.48
2005-03-10,241.6,13.55
2005-03-11,241.56,13.59
2005-03-12,241.53,13.62
2005-03-13,241.48,13.67
2005-03-14,241.41,13.74
2005-03-15,241.34,13.81
2005-03-16,241.25,13.9
2005-03-17,241.16,13.99
2005-03-18,241.07,14.08
2005-03-19,241.0,14.15
2005-03-20,240.94,14.21
2005-03-21,240.9,14.25
2005-03-22,240.81,14.34
2005-03-23,240.71,14.44
2005-03-24,240.63,14.52
2005-03-25,240.54,14.61
2005-03-26,240.48,14.67
2005-03-27,240.41,14.74
2005-03-28,240.34,14.81
2005-03-29,240.28,14.87
2005-03-30,240.19,14.96
2005-03-31,240.1,15.05
2005-04-01,240.03,15.12
2005-04-02,239.97,15.18
2005-04-03,239.9,15.25
2005-04-04,239.83,15.32
2005-04-05,239.76,15.39
2005-04-06,239.72,15.43
2005-04-07,239.68,15.47
2005-04-08,239.63,15.52
2005-04-09,239.56,15.59
2005-04-10,239.51,15.64
2005-04-11,239.46,15.69
2005-04-12,239.42,15.73
2005-04-13,239.41,15.74
2005-04-14,239.4,15.75
2005-04-15,239.37,15.78
2005-04-16,239.32,15.83
2005-04-17,239.29,15.86
2005-04-18,239.28,15.87
2005-04-19,239.27,15.88
2005-04-20,239.23,15.92
2005-04-21,239.22,15.93
2005-04-22,239.28,15.87
2005-04-23,239.36,15.79
2005-04-24,239.44,15.71
2005-04-25,239.54,15.61
2005-04-26,239.66,15.49
2005-04-27,239.79,15.36
2005-04-28,239.95,15.2
2005-04-29,240.1,15.05
2005-04-30,240.29,14.86
2005-05-01,240.42,14.73
2005-05-02,240.53,14.62
2005-05-03,240.6,14.55
2005-05-04,240.64,14.51
2005-05-05,240.69,14.46
2005-05-06,240.77,14.38
2005-05-07,240.85,14.3
2005-05-08,240.92,14.23
2005-05-09,241.07,14.08
2005-05-10,241.25,13.9
2005-05-11,241.38,13.77
2005-05-12,241.47,13.68
2005-05-13,241.51,13.64
2005-05-14,241.5,13.65
2005-05-15,241.43,13.72
2005-05-16,241.35,13.8
2005-05-17,241.24,13.91
2005-05-18,241.14,14.01
2005-05-19,241.05,14.1
2005-05-20,240.97,14.18
2005-05-21,240.9,14.25
2005-05-22,240.8,14.35
2005-05-23,240.69,14.46
2005-05-24,240.6,14.55
2005-05-25,240.51,14.64
2005-05-26,240.43,14.72
2005-05-27,240.39,14.76
2005-05-28,240.32,14.83
2005-05-29,240.25,14.9
2005-05-30,240.17,14.98
2005-05-31,240.1,15.05
2005-06-01,240.04,15.11
2005-06-02,239.99,15.16
2005-06-03,239.94,15.21
2005-06-04,239.87,15.28
2005-06-05,239.8,15.35
2005-06-06,239.74,15.41
2005-06-07,239.66,15.49
2005-06-08,239.59,15.56
2005-06-09,239.54,15.61
2005-06-10,239.49,15.66
2005-06-11,239.44,15.71
2005-06-12,239.38,15.77
2005-06-13,239.33,15.82
2005-06-14,239.27,15.88
2005-06-15,239.21,15.94
2005-06-16,239.04,16.11
2005-06-17,238.94,16.21
2005-06-18,238.93,16.22
2005-06-19,238.89,16.26
2005-06-20,238.82,16.33
2005-06-21,238.76,16.39
2005-06-22,238.72,16.43
2005-06-23,238.7,16.45
2005-06-24,238.67,16.48
2005-06-25,238.59,16.56
2005-06-26,238.55,16.6
2005-06-27,238.53,16.62
2005-06-28,238.52,16.63
2005-06-29,238.48,16.67
2005-06-30,238.44,16.71
2005-07-01,238.35,16.8
2005-07-02,238.32,16.83
2005-07-03,238.31,16.84
2005-07-04,238.28,16.87
2005-07-05,238.26,16.89
2005-07-06,238.21,16.94
2005-07-07,238.17,16.98
2005-07-08,238.14,17.01
2005-07-09,238.11,17.04
2005-07-10,238.06,17.09
2005-07-11,238.03,17.12
2005-07-12,238.02,17.13
2005-07-13,238.01,17.14
2005-07-14,238.0,17.15
2005-07-15,237.97,17.18
2005-07-16,237.93,17.22
2005-07-17,237.92,17.23
2005-07-18,237.89,17.26
2005-07-19,237.82,17.33
2005-07-20,237.8,17.35
2005-07-21,237.8,17.35
2005-07-22,237.81,17.34
2005-07-23,237.81,17.34
2005-07-24,237.79,17.36
2005-07-25,237.72,17.43
2005-07-26,237.68,17.47
2005-07-27,237.65,17.5
2005-07-28,237.62,17.53
2005-07-29,237.56,17.59
2005-07-30,237.56,17.59
2005-07-31,237.54,17.61
2005-08-01,237.52,17.63
2005-08-02,237.48,17.67
2005-08-03,237.44,17.71
2005-08-04,237.42,17.73
2005-08-05,237.45,17.7
2005-08-06,237.4,17.75
2005-08-07,237.39,17.76
2005-08-08,237.35,17.8
2005-08-09,237.33,17.82
2005-08-10,237.29,17.86
2005-08-11,237.25,17.9
2005-08-12,237.23,17.92
2005-08-13,237.18,17.97
2005-08-14,237.16,17.99
2005-08-15,237.12,18.03
2005-08-16,237.13,18.02
2005-08-17,237.12,18.03
2005-08-18,237.09,18.06
2005-08-19,237.01,18.14
2005-08-20,236.98,18.17
2005-08-21,236.96,18.19
2005-08-22,236.98,18.17
2005-08-23,236.93,18.22
2005-08-24,236.95,18.2
2005-08-25,236.92,18.23
2005-08-26,236.83,18.32
2005-08-27,236.83,18.32
2005-08-28,236.78,18.37
2005-08-29,236.77,18.38
2005-08-30,236.76,18.39
2005-08-31,236.79,18.36
2005-09-01,236.71,18.44
2005-09-02,236.65,18.5
2005-09-03,236.66,18.49
2005-09-04,236.67,18.48
2005-09-05,236.67,18.48
2005-09-06,236.67,18.48
2005-09-07,236.57,18.58
2005-09-08,236.56,18.59
2005-09-09,236.57,18.58
2005-09-10,236.54,18.61
2005-09-11,236.49,18.66
2005-09-12,236.45,18.7
2005-09-13,236.42,18.73
2005-09-14,236.42,18.73
2005-09-15,236.45,18.7
2005-09-16,236.45,18.7
2005-09-17,236.36,18.79
2005-09-18,236.35,18.8
2005-09-19,236.36,18.79
2005-09-20,236.34,18.81
2005-09-21,236.35,18.8
2005-09-22,236.34,18.81
2005-09-23,236.33,18.82
2005-09-24,236.28,18.87
2005-09-25,236.28,18.87
2005-09-26,236.22,18.93
2005-09-27,236.21,18.94
2005-09-28,236.17,18.98
2005-09-29,236.15,19.0
2005-09-30,236.17,18.98
2005-10-01,236.17,18.98
2005-10-02,236.11,19.04
2005-10-03,236.1,19.05
2005-10-04,236.12,19.03
2005-10-05,236.13,19.02
2005-10-06,236.12,19.03
2005-10-07,236.14,19.01
2005-10-08,236.13,19.02
2005-10-09,236.07,19.08
2005-10-10,236.11,19.04
2005-10-11,236.11,19.04
2005-10-12,236.07,19.08
2005-10-13,235.98,19.17
2005-10-14,235.97,19.18
2005-10-15,235.99,19.16
2005-10-16,235.99,19.16
2005-10-17,235.98,19.17
2005-10-18,236.0,19.15
2005-10-19,235.99,19.16
2005-10-20,235.94,19.21
2005-10-21,235.98,19.17
2005-10-22,235.94,19.21
2005-10-23,235.83,19.32
2005-10-24,235.86,19.29
2005-10-25,235.88,19.27
2005-10-26,235.84,19.31
2005-10-27,235.88,19.27
2005-10-28,235.83,19.32
2005-10-29,235.84,19.31
2005-10-30,235.84,19.31
2005-10-31,235.81,19.34
2005-11-01,235.73,19.42
2005-11-02,235.78,19.37
2005-11-03,235.76,19.39
2005-11-04,235.71,19.44
2005-11-05,235.72,19.43
2005-11-06,235.87,19.28
2005-11-07,235.93,19.22
2005-11-08,236.12,19.03
2005-11-09,236.14,19.01
2005-11-10,236.43,18.72
2005-11-11,236.79,18.36
2005-11-12,236.99,18.16
2005-11-13,237.03,18.12
2005-11-14,237.21,17.94
2005-11-15,237.48,17.67
2005-11-16,237.61,17.54
2005-11-17,237.71,17.44
2005-11-18,237.78,17.37
2005-11-19,237.85,17.3
2005-11-20,237.92,17.23
2005-11-21,238.0,17.15
2005-11-22,238.08,17.07
2005-11-23,238.12,17.03
2005-11-24,238.25,16.9
2005-11-25,238.43,16.72
2005-11-26,238.4,16.75
2005-11-27,238.35,16.8
2005-11-28,238.36,16.79
2005-11-29,238.32,16.83
2005-11-30,238.37,16.78
2005-12-01,238.61,16.54
2005-12-02,239.49,15.66
2005-12-03,240.66,14.49
2005-12-04,242.32,12.83
2005-12-05,243.68,11.47
2005-12-06,244.41,10.74
2005-12-07,244.88,10.27
2005-12-08,245.13,10.02
2005-12-09,245.17,9.98
2005-12-10,245.17,9.98
2005-12-11,245.09,10.06
2005-12-12,244.97,10.18
2005-12-13,244.79,10.36
2005-12-14,244.64,10.51
2005-12-15,244.47,10.68
2005-12-16,244.34,10.81
2005-12-17,244.16,10.99
2005-12-18,243.98,11.17
2005-12-19,243.82,11.33
2005-12-20,243.64,11.51
2005-12-21,243.47,11.68
2005-12-22,243.34,11.81
2005-12-23,243.24,11.91
2005-12-24,243.14,12.01
2005-12-25,243.05,12.1
2005-12-26,242.96,12.19
2005-12-27,242.88,12.27
2005-12-28,242.82,12.33
2005-12-29,242.81,12.34
2005-12-30,242.8,12.35
2005-12-31,242.74,12.41
2006-01-01,242.66,12.49
2006-01-02,242.58,12.57
2006-01-03,242.61,12.54
2006-01-04,242.74,12.41
2006-01-05,242.82,12.33
2006-01-06,242.92,12.23
2006-01-07,242.99,12.16
2006-01-08,243.05,12.1
2006-01-09,243.07,12.08
2006-01-10,243.05,12.1
2006-01-11,243.04,12.11
2006-01-12,243.0,12.15
2006-01-13,242.99,12.16
2006-01-14,242.94,12.21
2006-01-15,242.92,12.23
2006-01-16,242.88,12.27
2006-01-17,242.86,12.29
2006-01-18,242.81,12.34
2006-01-19,242.87,12.28
2006-01-20,242.97,12.18
2006-01-21,243.04,12.11
2006-01-22,243.1,12.05
2006-01-23,243.16,11.99
2006-01-24,243.2,11.95
2006-01-25,243.2,11.95
2006-01-26,243.17,11.98
2006-01-27,243.12,12.03
2006-01-28,243.09,12.06
2006-01-29,243.0,12.15
2006-01-30,242.92,12.23
2006-01-31,242.87,12.28
2006-02-01,242.84,12.31
2006-02-02,242.83,12.32
2006-02-03,242.82,12.33
2006-02-04,242.81,12.34
2006-02-05,242.81,12.34
2006-02-06,242.8,12.35
2006-02-07,242.8,12.35
2006-02-08,242.8,12.35
2006-02-09,242.75,12.4
2006-02-10,242.69,12.46
2006-02-11,242.63,12.52
2006-02-12,242.56,12.59
