t,H,d
2003-12-16,63.75,12.58
2003-12-17,63.74,12.59
2003-12-18,63.72,12.61
2003-12-19,63.67,12.66
2003-12-20,63.66,12.67
2003-12-21,63.62,12.71
2003-12-22,63.58,12.75
2003-12-23,63.57,12.76
2003-12-24,63.54,12.79
2003-12-25,63.52,12.81
2003-12-26,63.52,12.81
2003-12-27,63.5,12.83
2003-12-28,63.56,12.77
2003-12-29,63.65,12.68
2003-12-30,63.79,12.54
2003-12-31,63.88,12.45
2004-01-01,64.01,12.32
2004-01-02,64.12,12.21
2004-01-03,64.21,12.12
2004-01-04,64.28,12.05
2004-01-05,64.35,11.98
2004-01-06,64.4,11.93
2004-01-07,64.45,11.88
2004-01-08,64.52,11.81
2004-01-09,64.67,11.66
2004-01-10,64.79,11.54
2004-01-11,64.95,11.38
2004-01-12,65.18,11.15
2004-01-13,65.67,10.66
2004-01-14,66.29,10.04
2004-01-15,66.72,9.61
2004-01-16,67.08,9.25
2004-01-17,67.31,9.02
2004-01-18,67.39,8.94
2004-01-19,67.49,8.84
2004-01-20,67.54,8.79
2004-01-21,67.52,8.81
2004-01-22,67.48,8.85
2004-01-23,67.42,8.91
2004-01-24,67.32,9.01
2004-01-25,67.25,9.08
2004-01-26,67.31,9.02
2004-01-27,67.36,8.97
2004-01-28,67.46,8.87
2004-01-29,67.51,8.82
2004-01-30,67.54,8.79
2004-01-31,67.56,8.77
2004-02-01,67.53,8.8
2004-02-02,67.53,8.8
2004-02-03,67.54,8.79
2004-02-04,67.53,8.8
2004-02-05,67.51,8.82
2004-02-06,67.5,8.83
2004-02-07,67.42,8.91
2004-02-08,67.35,8.98
2004-02-09,67.26,9.07
2004-02-10,67.18,9.15
2004-02-11,67.1,9.23
2004-02-12,67.0,9.33
2004-02-13,66.91,9.42
2004-02-14,66.83,9.5
2004-02-15,66.74,9.59
2004-02-16,66.64,9.69
2004-02-17,66.55,9.78
2004-02-18,66.48,9.85
2004-02-19,66.41,9.92
2004-02-20,66.34,9.99
2004-02-21,66.28,10.05
2004-02-22,66.18,10.15
2004-02-23,66.08,10.25
2004-02-24,66.01,10.32
2004-02-25,65.95,10.38
2004-02-26,65.88,10.45
2004-02-27,65.82,10.51
2004-02-28,65.77,10.56
2004-02-29,65.7,10.63
2004-03-01,65.64,10.69
2004-03-02,65.58,10.75
2004-03-03,65.54,10.79
2004-03-04,65.5,10.83
2004-03-05,65.49,10.84
2004-03-06,65.44,10.89
2004-03-07,65.41,10.92
2004-03-08,65.37,10.96
2004-03-09,65.36,10.97
2004-03-10,65.35,10.98
2004-03-11,65.37,10.96
2004-03-12,65.39,10.94
2004-03-13,65.37,10.96
2004-03-14,65.36,10.97
2004-03-15,65.34,10.99
2004-03-16,65.34,10.99
2004-03-17,65.34,10.99
2004-03-18,65.35,10.98
2004-03-19,65.37,10.96
2004-03-20,65.38,10.95
2004-03-21,65.4,10.93
2004-03-22,65.41,10.92
2004-03-23,65.4,10.93
2004-03-24,65.4,10.93
2004-03-25,65.4,10.93
2004-03-26,65.39,10.94
2004-03-27,65.39,10.94
2004-03-28,65.39,10.94
2004-03-29,65.38,10.95
2004-03-30,65.38,10.95
2004-03-31,65.38,10.95
2004-04-01,65.37,10.96
2004-04-02,65.34,10.99
2004-04-03,65.3,11.03
2004-04-04,65.27,11.06
2004-04-05,65.25,11.08
2004-04-06,65.24,11.09
2004-04-07,65.21,11.12
2004-04-08,65.17,11.16
2004-04-09,65.14,11.19
2004-04-10,65.11,11.22
2004-04-11,65.07,11.26
2004-04-12,65.03,11.3
2004-04-13,65.0,11.33
2004-04-14,64.97,11.36
2004-04-15,64.94,11.39
2004-04-16,64.92,11.41
2004-04-17,64.89,11.44
2004-04-18,64.9,11.43
2004-04-19,64.89,11.44
2004-04-20,64.87,11.46
2004-04-21,64.85,11.48
2004-04-22,64.8,11.53
2004-04-23,64.76,11.57
2004-04-24,64.73,11.6
2004-04-25,64.7,11.63
2004-04-26,64.68,11.65
2004-04-27,64.66,11.67
2004-04-28,64.65,11.68
2004-04-29,64.68,11.65
2004-04-30,64.74,11.59
2004-05-01,64.74,11.59
2004-05-02,64.73,11.6
2004-05-03,64.72,11.61
2004-05-04,64.75,11.58
2004-05-05,64.75,11.58
2004-05-06,64.74,11.59
2004-05-07,64.73,11.6
2004-05-08,64.7,11.63
2004-05-09,64.69,11.64
2004-05-10,64.67,11.66
2004-05-11,64.65,11.68
2004-05-12,64.63,11.7
2004-05-13,64.61,11.72
2004-05-14,64.59,11.74
2004-05-15,64.57,11.76
2004-05-16,64.55,11.78
2004-05-17,64.54,11.79
2004-05-18,64.52,11.81
2004-05-19,64.5,11.83
2004-05-20,64.48,11.85
2004-05-21,64.46,11.87
2004-05-22,64.43,11.9
2004-05-23,64.41,11.92
2004-05-24,64.39,11.94
2004-05-25,64.38,11.95
2004-05-26,64.36,11.97
2004-05-27,64.33,12.0
2004-05-28,64.31,12.02
2004-05-29,64.29,12.04
2004-05-30,64.28,12.05
2004-05-31,64.27,12.06
2004-06-01,64.24,12.09
2004-06-02,64.21,12.12
2004-06-03,64.19,12.14
2004-06-04,64.17,12.16
2004-06-05,64.15,12.18
2004-06-06,64.13,12.2
2004-06-07,64.11,12.22
2004-06-08,64.08,12.25
2004-06-09,64.06,12.27
2004-06-10,64.04,12.29
2004-06-11,64.02,12.31
2004-06-12,63.99,12.34
2004-06-13,63.97,12.36
2004-06-14,63.95,12.38
2004-06-15,63.94,12.39
2004-06-16,63.92,12.41
2004-06-17,63.9,12.43
2004-06-18,63.88,12.45
2004-06-19,63.87,12.46
2004-06-20,63.85,12.48
2004-06-21,63.83,12.5
2004-06-22,63.81,12.52
2004-06-23,63.79,12.54
2004-06-24,63.77,12.56
2004-06-25,63.74,12.59
2004-06-26,63.73,12.6
2004-06-27,63.7,12.63
2004-06-28,63.67,12.66
2004-06-29,63.65,12.68
2004-06-30,63.64,12.69
2004-07-01,63.62,12.71
2004-07-02,63.6,12.73
2004-07-03,63.58,12.75
2004-07-04,63.56,12.77
2004-07-05,63.55,12.78
2004-07-06,63.54,12.79
2004-07-07,63.58,12.75
2004-07-08,63.78,12.55
2004-07-09,63.76,12.57
2004-07-10,63.73,12.6
2004-07-11,63.7,12.63
2004-07-12,63.67,12.66
2004-07-13,63.64,12.69
2004-07-14,63.62,12.71
2004-07-15,63.6,12.73
2004-07-16,63.58,12.75
2004-07-17,63.56,12.77
2004-07-18,63.54,12.79
2004-07-19,63.53,12.8
2004-07-20,63.51,12.82
2004-07-21,63.49,12.84
2004-07-22,63.46,12.87
2004-07-23,63.44,12.89
2004-07-24,63.42,12.91
2004-07-25,63.4,12.93
2004-07-26,63.38,12.95
2004-07-27,63.36,12.97
2004-07-28,63.35,12.98
2004-07-29,63.33,13.0
2004-07-30,63.31,13.02
2004-07-31,63.29,13.04
2004-08-01,63.27,13.06
2004-08-02,63.26,13.07
2004-08-03,63.24,13.09
2004-08-04,63.22,13.11
2004-08-05,63.21,13.12
2004-08-06,63.19,13.14
2004-08-07,63.18,13.15
2004-08-08,63.16,13.17
2004-08-09,63.14,13.19
2004-08-10,63.13,13.2
2004-08-11,63.11,13.22
2004-08-12,63.16,13.17
2004-08-13,63.19,13.14
2004-08-14,63.17,13.16
2004-08-15,63.14,13.19
2004-08-16,63.17,13.16
2004-08-17,63.27,13.06
2004-08-18,63.4,12.93
2004-08-19,63.42,12.91
2004-08-20,63.44,12.89
2004-08-21,63.47,12.86
2004-08-22,63.48,12.85
2004-08-23,63.47,12.86
2004-08-24,63.46,12.87
2004-08-25,63.45,12.88
2004-08-26,63.43,12.9
2004-08-27,63.43,12.9
2004-08-28,63.41,12.92
2004-08-29,63.39,12.94
2004-08-30,63.37,12.96
2004-08-31,63.35,12.98
2004-09-01,63.34,12.99
2004-09-02,63.32,13.01
2004-09-03,63.29,13.04
2004-09-04,63.27,13.06
2004-09-05,63.26,13.07
2004-09-06,63.23,13.1
2004-09-07,63.21,13.12
2004-09-08,63.19,13.14
2004-09-09,63.17,13.16
2004-09-10,63.15,13.18
2004-09-11,63.14,13.19
2004-09-12,63.12,13.21
2004-09-13,63.11,13.22
2004-09-14,63.12,13.21
2004-09-15,63.09,13.24
2004-09-16,63.08,13.25
2004-09-17,63.06,13.27
2004-09-18,63.05,13.28
2004-09-19,63.03,13.3
2004-09-20,63.02,13.31
2004-09-21,63.0,13.33
2004-09-22,62.98,13.35
2004-09-23,62.98,13.35
2004-09-24,62.96,13.37
2004-09-25,62.94,13.39
2004-09-26,62.93,13.4
2004-09-27,62.92,13.41
2004-09-28,62.91,13.42
2004-09-29,62.9,13.43
2004-09-30,62.89,13.44
2004-10-01,62.88,13.45
2004-10-02,62.87,13.46
2004-10-03,62.86,13.47
2004-10-04,62.85,13.48
2004-10-05,62.84,13.49
2004-10-06,62.83,13.5
2004-10-07,62.82,13.51
2004-10-08,62.81,13.52
2004-10-09,62.8,13.53
2004-10-10,62.84,13.49
2004-10-11,62.9,13.43
2004-10-12,62.91,13.42
2004-10-13,62.92,13.41
2004-10-14,62.96,13.37
2004-10-15,63.01,13.32
2004-10-16,63.02,13.31
2004-10-17,62.99,13.34
2004-10-18,62.98,13.35
2004-10-19,62.98,13.35
2004-10-20,63.01,13.32
2004-10-21,63.15,13.18
2004-10-22,63.24,13.09
2004-10-23,63.33,13.0
2004-10-24,63.48,12.85
2004-10-25,63.56,12.77
2004-10-26,63.63,12.7
2004-10-27,63.74,12.59
2004-10-28,63.8,12.53
2004-10-29,64.04,12.29
