t,H,d
2004-11-19,147.05,5.07
2004-11-20,147.04,5.08
2004-11-21,147.05,5.07
2004-11-22,147.05,5.07
2004-11-23,147.04,5.08
2004-11-24,147.04,5.08
2004-11-25,147.04,5.08
2004-11-26,147.04,5.08
2004-11-27,147.03,5.09
2004-11-28,147.07,5.05
2004-11-29,147.07,5.05
2004-11-30,147.11,5.01
2004-12-01,147.14,4.98
2004-12-02,147.14,4.98
2004-12-03,147.12,5.0
2004-12-04,147.11,5.01
2004-12-05,147.11,5.01
2004-12-06,147.12,5.0
2004-12-07,147.12,5.0
2004-12-08,147.12,5.0
2004-12-09,147.13,4.99
2004-12-10,147.13,4.99
2004-12-11,147.11,5.01
2004-12-12,147.11,5.01
2004-12-13,147.1,5.02
2004-12-14,147.09,5.03
2004-12-15,147.09,5.03
2004-12-16,147.1,5.02
2004-12-17,147.1,5.02
2004-12-18,147.06,5.06
2004-12-19,147.1,5.02
2004-12-20,147.05,5.07
2004-12-21,147.05,5.07
2004-12-22,147.04,5.08
2004-12-23,147.06,5.06
2004-12-24,147.08,5.04
2004-12-25,147.13,4.99
2004-12-26,147.14,4.98
2004-12-27,147.14,4.98
2004-12-28,147.18,4.94
2004-12-29,147.17,4.95
2004-12-30,147.19,4.93
2004-12-31,147.22,4.9
2005-01-01,147.24,4.88
2005-01-02,147.26,4.86
2005-01-03,147.25,4.87
2005-01-04,147.28,4.84
2005-01-05,147.29,4.83
2005-01-06,147.3,4.82
2005-01-07,147.31,4.81
2005-01-08,147.34,4.78
2005-01-09,147.33,4.79
2005-01-10,147.35,4.77
2005-01-11,147.36,4.76
2005-01-12,147.4,4.72
2005-01-13,147.42,4.7
2005-01-14,147.45,4.67
2005-01-15,147.48,4.64
2005-01-16,147.49,4.63
2005-01-17,147.52,4.6
2005-01-18,147.57,4.55
2005-01-19,147.57,4.55
2005-01-20,147.59,4.53
2005-01-21,147.62,4.5
2005-01-22,147.65,4.47
2005-01-23,147.67,4.45
2005-01-24,147.69,4.43
2005-01-25,147.72,4.4
2005-01-26,147.74,4.38
2005-01-27,147.77,4.35
2005-01-28,147.79,4.33
2005-01-29,147.8,4.32
2005-01-30,147.79,4.33
2005-01-31,147.79,4.33
2005-02-01,147.8,4.32
2005-02-02,147.8,4.32
2005-02-03,147.81,4.31
2005-02-04,147.82,4.3
2005-02-05,147.84,4.28
2005-02-06,147.85,4.27
2005-02-07,147.83,4.29
2005-02-08,147.83,4.29
2005-02-09,147.81,4.31
2005-02-10,147.8,4.32
2005-02-11,147.8,4.32
2005-02-12,147.81,4.31
2005-02-13,147.81,4.31
2005-02-14,147.79,4.33
