t,H,d
2005-12-20,70.93,11.17
2005-12-21,70.95,11.15
2005-12-22,70.99,11.11
2005-12-23,71.03,11.07
2005-12-24,71.07,11.03
2005-12-25,71.1,11.0
2005-12-26,71.14,10.96
2005-12-27,71.19,10.91
2005-12-28,71.2,10.9
2005-12-29,71.2,10.9
2005-12-30,71.28,10.82
2005-12-31,71.3,10.8
2006-01-01,71.31,10.79
2006-01-02,71.28,10.82
2006-01-03,71.29,10.81
2006-01-04,71.35,10.75
2006-01-05,71.41,10.69
2006-01-06,71.44,10.66
2006-01-07,71.45,10.65
2006-01-08,71.5,10.6
2006-01-09,71.5,10.6
2006-01-10,71.52,10.58
2006-01-11,71.56,10.54
2006-01-12,71.58,10.52
2006-01-13,71.63,10.47
2006-01-14,71.65,10.45
2006-01-15,71.71,10.39
2006-01-16,71.74,10.36
2006-01-17,71.8,10.3
2006-01-18,71.75,10.35
2006-01-19,71.77,10.33
2006-01-20,71.8,10.3
2006-01-21,71.79,10.31
2006-01-22,71.8,10.3
2006-01-23,71.84,10.26
2006-01-24,71.88,10.22
2006-01-25,71.92,10.18
2006-01-26,71.96,10.14
2006-01-27,71.98,10.12
2006-01-28,72.02,10.08
2006-01-29,72.01,10.09
2006-01-30,72.02,10.08
2006-01-31,72.04,10.06
2006-02-01,72.07,10.03
2006-02-02,72.09,10.01
2006-02-03,72.11,9.99
2006-02-04,72.09,10.01
2006-02-05,72.08,10.02
2006-02-06,72.09,10.01
2006-02-07,72.12,9.98
2006-02-08,72.19,9.91
2006-02-09,72.18,9.92
2006-02-10,72.16,9.94
2006-02-11,72.16,9.94
2006-02-12,72.15,9.95
2006-02-13,72.19,9.91
2006-02-14,72.21,9.89
2006-02-15,72.28,9.82
2006-02-16,72.32,9.78
2006-02-17,72.33,9.77
2006-02-18,72.35,9.75
2006-02-19,72.42,9.68
2006-02-20,72.43,9.67
2006-02-21,72.43,9.67
2006-02-22,72.51,9.59
2006-02-23,72.6,9.5
2006-02-24,72.76,9.34
2006-02-25,72.87,9.23
2006-02-26,72.93,9.17
2006-02-27,72.99,9.11
2006-02-28,73.13,8.97
2006-03-01,73.19,8.91
2006-03-02,73.27,8.83
2006-03-03,73.39,8.71
2006-03-04,73.42,8.68
2006-03-05,73.38,8.72
2006-03-06,73.39,8.71
2006-03-07,73.47,8.63
2006-03-08,73.59,8.51
2006-03-09,73.72,8.38
2006-03-10,73.81,8.29
2006-03-11,73.88,8.22
2006-03-12,73.94,8.16
2006-03-13,74.06,8.04
2006-03-14,74.18,7.92
2006-03-15,74.27,7.83
2006-03-16,74.31,7.79
2006-03-17,74.38,7.72
2006-03-18,74.46,7.64
2006-03-19,74.51,7.59
2006-03-20,74.54,7.56
2006-03-21,74.55,7.55
2006-03-22,74.55,7.55
2006-03-23,74.55,7.55
2006-03-24,74.63,7.47
2006-03-25,74.53,7.57
2006-03-26,74.52,7.58
2006-03-27,74.57,7.53
2006-03-28,74.57,7.53
2006-03-29,74.57,7.53
2006-03-30,74.62,7.48
2006-03-31,74.6,7.5
2006-04-01,74.65,7.45
2006-04-02,74.69,7.41
2006-04-03,74.69,7.41
2006-04-04,74.81,7.29
2006-04-05,74.9,7.2
2006-04-06,74.94,7.16
2006-04-07,75.0,7.1
2006-04-08,75.07,7.03
2006-04-09,75.09,7.01
2006-04-10,75.07,7.03
2006-04-11,75.05,7.05
2006-04-12,75.08,7.02
2006-04-13,75.08,7.02
2006-04-14,75.09,7.01
2006-04-15,75.19,6.91
2006-04-16,75.06,7.04
2006-04-17,75.04,7.06
2006-04-18,75.02,7.08
2006-04-19,75.02,7.08
2006-04-20,75.01,7.09
2006-04-21,75.01,7.09
2006-04-22,74.93,7.17
2006-04-23,74.92,7.18
2006-04-24,74.89,7.21
2006-04-25,74.84,7.26
2006-04-26,74.8,7.3
2006-04-27,74.76,7.34
2006-04-28,74.73,7.37
2006-04-29,74.72,7.38
2006-04-30,74.73,7.37
2006-05-01,74.75,7.35
2006-05-02,74.7,7.4
2006-05-03,74.63,7.47
2006-05-04,74.62,7.48
2006-05-05,74.51,7.59
2006-05-06,74.51,7.59
2006-05-07,74.49,7.61
2006-05-08,74.49,7.61
2006-05-09,74.4,7.7
2006-05-10,74.38,7.72
2006-05-11,74.35,7.75
2006-05-12,74.34,7.76
2006-05-13,74.26,7.84
2006-05-14,74.22,7.88
2006-05-15,74.26,7.84
2006-05-16,74.22,7.88
