t,H,d
2005-12-20,32.2,6.0
2005-12-21,32.2,6.0
2005-12-22,32.2,6.0
2005-12-23,32.2,6.0
2005-12-24,32.2,6.0
2005-12-25,32.2,6.0
2005-12-26,32.2,6.0
2005-12-27,32.21,5.99
2005-12-28,32.21,5.99
2005-12-29,32.21,5.99
2005-12-30,32.21,5.99
2005-12-31,32.21,5.99
2006-01-01,32.21,5.99
2006-01-02,32.2,6.0
2006-01-03,32.2,6.0
2006-01-04,32.21,5.99
2006-01-05,32.21,5.99
2006-01-06,32.22,5.98
2006-01-07,32.22,5.98
2006-01-08,32.22,5.98
2006-01-09,32.22,5.98
2006-01-10,32.22,5.98
2006-01-11,32.22,5.98
2006-01-12,32.22,5.98
2006-01-13,32.22,5.98
2006-01-14,32.23,5.97
2006-01-15,32.23,5.97
2006-01-16,32.23,5.97
2006-01-17,32.24,5.96
2006-01-18,32.23,5.97
2006-01-19,32.23,5.97
2006-01-20,32.23,5.97
2006-01-21,32.23,5.97
2006-01-22,32.23,5.97
2006-01-23,32.23,5.97
2006-01-24,32.24,5.96
2006-01-25,32.24,5.96
2006-01-26,32.24,5.96
2006-01-27,32.24,5.96
2006-01-28,32.24,5.96
2006-01-29,32.24,5.96
2006-01-30,32.24,5.96
2006-01-31,32.24,5.96
2006-02-01,32.24,5.96
2006-02-02,32.24,5.96
2006-02-03,32.24,5.96
2006-02-04,32.24,5.96
2006-02-05,32.24,5.96
2006-02-06,32.24,5.96
2006-02-07,32.24,5.96
2006-02-08,32.25,5.95
2006-02-09,32.25,5.95
2006-02-10,32.25,5.95
2006-02-11,32.24,5.96
2006-02-12,32.24,5.96
2006-02-13,32.24,5.96
2006-02-14,32.25,5.95
2006-02-15,32.25,5.95
2006-02-16,32.25,5.95
2006-02-17,32.25,5.95
2006-02-18,32.25,5.95
2006-02-19,32.25,5.95
2006-02-20,32.25,5.95
2006-02-21,32.25,5.95
2006-02-22,32.25,5.95
2006-02-23,32.26,5.94
2006-02-24,32.28,5.92
2006-02-25,32.28,5.92
2006-02-26,32.28,5.92
2006-02-27,32.28,5.92
2006-02-28,32.29,5.91
2006-03-01,32.29,5.91
2006-03-02,32.29,5.91
2006-03-03,32.3,5.9
2006-03-04,32.3,5.9
2006-03-05,32.29,5.91
2006-03-06,32.29,5.91
2006-03-07,32.3,5.9
2006-03-08,32.31,5.89
2006-03-09,32.31,5.89
2006-03-10,32.32,5.88
2006-03-11,32.32,5.88
2006-03-12,32.33,5.87
2006-03-13,32.33,5.87
2006-03-14,32.34,5.86
2006-03-15,32.35,5.85
2006-03-16,32.35,5.85
2006-03-17,32.36,5.84
2006-03-18,32.37,5.83
2006-03-19,32.37,5.83
2006-03-20,32.38,5.82
2006-03-21,32.38,5.82
2006-03-22,32.39,5.81
2006-03-23,32.39,5.81
2006-03-24,32.41,5.79
2006-03-25,32.39,5.81
2006-03-26,32.43,5.77
2006-03-27,32.42,5.78
