t,H,d
2006-01-25,101.11,6.09
2006-01-26,101.13,6.07
2006-01-27,101.13,6.07
2006-01-28,101.15,6.05
2006-01-29,101.14,6.06
2006-01-30,101.13,6.07
2006-01-31,101.15,6.05
2006-02-01,101.16,6.04
2006-02-02,101.17,6.03
2006-02-03,101.17,6.03
2006-02-04,101.15,6.05
2006-02-05,101.13,6.07
2006-02-06,101.14,6.06
2006-02-07,101.15,6.05
2006-02-08,101.21,5.99
2006-02-09,101.2,6.0
2006-02-10,101.17,6.03
2006-02-11,101.16,6.04
2006-02-12,101.15,6.05
2006-02-13,101.17,6.03
2006-02-14,101.19,6.01
2006-02-15,101.25,5.95
2006-02-16,101.32,5.88
2006-02-17,101.35,5.85
2006-02-18,101.4,5.8
2006-02-19,101.46,5.74
2006-02-20,101.49,5.71
2006-02-21,101.52,5.68
2006-02-22,101.58,5.62
2006-02-23,101.62,5.58
2006-02-24,101.72,5.48
2006-02-25,101.77,5.43
2006-02-26,101.79,5.41
2006-02-27,101.79,5.41
2006-02-28,101.86,5.34
2006-03-01,101.88,5.32
2006-03-02,101.91,5.29
2006-03-03,101.99,5.21
2006-03-04,101.99,5.21
2006-03-05,101.96,5.24
2006-03-06,101.95,5.25
2006-03-07,101.99,5.21
2006-03-08,102.11,5.09
2006-03-09,102.19,5.01
2006-03-10,102.23,4.97
2006-03-11,102.25,4.95
2006-03-12,102.23,4.97
2006-03-13,102.27,4.93
2006-03-14,102.31,4.89
2006-03-15,102.33,4.87
2006-03-16,102.33,4.87
2006-03-17,102.33,4.87
2006-03-18,102.36,4.84
2006-03-19,102.36,4.84
2006-03-20,102.35,4.85
2006-03-21,102.33,4.87
2006-03-22,102.31,4.89
2006-03-23,102.29,4.91
2006-03-24,102.35,4.85
2006-03-25,102.3,4.9
2006-03-26,102.32,4.88
2006-03-27,102.4,4.8
2006-03-28,102.44,4.76
2006-03-29,102.47,4.73
2006-03-30,102.55,4.65
2006-03-31,102.57,4.63
2006-04-01,102.63,4.57
2006-04-02,102.67,4.53
2006-04-03,102.67,4.53
2006-04-04,102.72,4.48
2006-04-05,102.76,4.44
2006-04-06,102.74,4.46
2006-04-07,102.74,4.46
2006-04-08,102.75,4.45
2006-04-09,102.72,4.48
2006-04-10,102.68,4.52
2006-04-11,102.64,4.56
2006-04-12,102.64,4.56
2006-04-13,102.61,4.59
2006-04-14,102.6,4.6
2006-04-15,102.64,4.56
2006-04-16,102.58,4.62
2006-04-17,102.55,4.65
2006-04-18,102.53,4.67
2006-04-19,102.53,4.67
2006-04-20,102.51,4.69
2006-04-21,102.51,4.69
2006-04-22,102.46,4.74
2006-04-23,102.45,4.75
2006-04-24,102.43,4.77
2006-04-25,102.39,4.81
2006-04-26,102.36,4.84
2006-04-27,102.33,4.87
2006-04-28,102.31,4.89
2006-04-29,102.29,4.91
