t,H,d
2005-02-16,86.16,7.04
2005-02-17,86.16,7.04
2005-02-18,86.15,7.05
2005-02-19,86.14,7.06
2005-02-20,86.14,7.06
2005-02-21,86.13,7.07
2005-02-22,86.12,7.08
2005-02-23,86.11,7.09
2005-02-24,86.1,7.1
2005-02-25,86.09,7.11
2005-02-26,86.07,7.13
2005-02-27,86.06,7.14
2005-02-28,86.04,7.16
2005-03-01,86.04,7.16
2005-03-02,86.04,7.16
2005-03-03,86.03,7.17
2005-03-04,86.02,7.18
2005-03-05,86.02,7.18
2005-03-06,86.0,7.2
2005-03-07,85.99,7.21
2005-03-08,85.98,7.22
2005-03-09,85.97,7.23
2005-03-10,85.96,7.24
2005-03-11,85.96,7.24
2005-03-12,85.95,7.25
2005-03-13,85.94,7.26
2005-03-14,85.93,7.27
2005-03-15,85.92,7.28
2005-03-16,85.91,7.29
2005-03-17,85.89,7.31
2005-03-18,85.89,7.31
2005-03-19,85.88,7.32
2005-03-20,85.88,7.32
2005-03-21,85.87,7.33
2005-03-22,85.86,7.34
2005-03-23,85.85,7.35
2005-03-24,85.84,7.36
2005-03-25,85.83,7.37
2005-03-26,85.83,7.37
2005-03-27,85.82,7.38
2005-03-28,85.8,7.4
2005-03-29,85.8,7.4
2005-03-30,85.79,7.41
2005-03-31,85.78,7.42
2005-04-01,85.78,7.42
2005-04-02,85.78,7.42
2005-04-03,85.77,7.43
2005-04-04,85.76,7.44
2005-04-05,85.75,7.45
2005-04-06,85.75,7.45
2005-04-07,85.74,7.46
2005-04-08,85.73,7.47
2005-04-09,85.72,7.48
2005-04-10,85.72,7.48
2005-04-11,85.71,7.49
2005-04-12,85.7,7.5
2005-04-13,85.7,7.5
2005-04-14,85.7,7.5
2005-04-15,85.7,7.5
2005-04-16,85.7,7.5
2005-04-17,85.7,7.5
2005-04-18,85.71,7.49
2005-04-19,85.72,7.48
2005-04-20,85.74,7.46
2005-04-21,85.75,7.45
2005-04-22,85.76,7.44
2005-04-23,85.8,7.4
2005-04-24,85.82,7.38
2005-04-25,85.83,7.37
2005-04-26,85.84,7.36
2005-04-27,85.85,7.35
2005-04-28,85.86,7.34
2005-04-29,85.87,7.33
2005-04-30,85.9,7.3
2005-05-01,85.92,7.28
2005-05-02,85.93,7.27
2005-05-03,85.93,7.27
2005-05-04,85.93,7.27
2005-05-05,85.94,7.26
2005-05-06,85.94,7.26
2005-05-07,85.95,7.25
2005-05-08,85.95,7.25
2005-05-09,85.95,7.25
2005-05-10,85.94,7.26
2005-05-11,85.94,7.26
2005-05-12,85.94,7.26
2005-05-13,85.94,7.26
2005-05-14,85.93,7.27
2005-05-15,85.92,7.28
2005-05-16,85.92,7.28
2005-05-17,85.91,7.29
2005-05-18,85.9,7.3
2005-05-19,85.89,7.31
2005-05-20,85.9,7.3
2005-05-21,85.9,7.3
2005-05-22,85.91,7.29
2005-05-23,85.9,7.3
2005-05-24,85.9,7.3
2005-05-25,85.89,7.31
2005-05-26,85.89,7.31
2005-05-27,85.89,7.31
2005-05-28,85.87,7.33
2005-05-29,85.86,7.34
2005-05-30,85.84,7.36
2005-05-31,85.83,7.37
2005-06-01,85.83,7.37
2005-06-02,85.82,7.38
2005-06-03,85.81,7.39
2005-06-04,85.8,7.4
2005-06-05,85.78,7.42
2005-06-06,85.77,7.43
2005-06-07,85.76,7.44
2005-06-08,85.75,7.45
2005-06-09,85.74,7.46
2005-06-10,85.73,7.47
2005-06-11,85.72,7.48
2005-06-12,85.71,7.49
2005-06-13,85.7,7.5
2005-06-14,85.69,7.51
2005-06-15,85.68,7.52
2005-06-16,85.67,7.53
2005-06-17,85.66,7.54
2005-06-18,85.66,7.54
2005-06-19,85.65,7.55
2005-06-20,85.64,7.56
2005-06-21,85.63,7.57
2005-06-22,85.62,7.58
2005-06-23,85.61,7.59
2005-06-24,85.6,7.6
2005-06-25,85.59,7.61
2005-06-26,85.58,7.62
2005-06-27,85.57,7.63
2005-06-28,85.56,7.64
2005-06-29,85.55,7.65
2005-06-30,85.54,7.66
2005-07-01,85.53,7.67
2005-07-02,85.53,7.67
2005-07-03,85.52,7.68
2005-07-04,85.51,7.69
2005-07-05,85.51,7.69
2005-07-06,85.5,7.7
2005-07-07,85.49,7.71
2005-07-08,85.49,7.71
2005-07-09,85.48,7.72
2005-07-10,85.47,7.73
2005-07-11,85.46,7.74
2005-07-12,85.45,7.75
2005-07-13,85.44,7.76
2005-07-14,85.43,7.77
2005-07-15,85.42,7.78
2005-07-16,85.4,7.8
2005-07-17,85.39,7.81
2005-07-18,85.38,7.82
2005-07-19,85.37,7.83
2005-07-20,85.36,7.84
2005-07-21,85.35,7.85
2005-07-22,85.34,7.86
2005-07-23,85.34,7.86
2005-07-24,85.34,7.86
2005-07-25,85.35,7.85
2005-07-26,85.35,7.85
2005-07-27,85.42,7.78
2005-07-28,85.44,7.76
2005-07-29,85.44,7.76
2005-07-30,85.45,7.75
2005-07-31,85.44,7.76
2005-08-01,85.44,7.76
2005-08-02,85.43,7.77
2005-08-03,85.42,7.78
2005-08-04,85.41,7.79
2005-08-05,85.4,7.8
2005-08-06,85.39,7.81
2005-08-07,85.39,7.81
2005-08-08,85.38,7.82
2005-08-09,85.37,7.83
2005-08-10,85.35,7.85
2005-08-11,85.34,7.86
2005-08-12,85.33,7.87
2005-08-13,85.32,7.88
2005-08-14,85.32,7.88
2005-08-15,85.31,7.89
2005-08-16,85.3,7.9
2005-08-17,85.29,7.91
2005-08-18,85.28,7.92
2005-08-19,85.27,7.93
2005-08-20,85.26,7.94
2005-08-21,85.25,7.95
2005-08-22,85.24,7.96
2005-08-23,85.24,7.96
2005-08-24,85.23,7.97
2005-08-25,85.25,7.95
2005-08-26,85.27,7.93
2005-08-27,85.27,7.93
2005-08-28,85.27,7.93
2005-08-29,85.27,7.93
2005-08-30,85.26,7.94
2005-08-31,85.25,7.95
2005-09-01,85.25,7.95
2005-09-02,85.23,7.97
2005-09-03,85.23,7.97
2005-09-04,85.22,7.98
2005-09-05,85.21,7.99
2005-09-06,85.21,7.99
2005-09-07,85.2,8.0
2005-09-08,85.2,8.0
2005-09-09,85.19,8.01
2005-09-10,85.19,8.01
2005-09-11,85.18,8.02
2005-09-12,85.17,8.03
2005-09-13,85.17,8.03
2005-09-14,85.17,8.03
2005-09-15,85.16,8.04
2005-09-16,85.16,8.04
2005-09-17,85.15,8.05
2005-09-18,85.14,8.06
2005-09-19,85.14,8.06
2005-09-20,85.13,8.07
2005-09-21,85.13,8.07
