t,H,d
1990-01-01,151.73,8.62
1990-01-02,151.67,8.68
1990-01-03,151.63,8.72
1990-01-04,151.57,8.78
1990-01-05,151.53,8.82
1990-01-06,151.51,8.84
1990-01-07,151.49,8.86
1990-01-08,151.49,8.86
1990-01-09,151.53,8.82
1990-01-10,151.55,8.8
1990-01-11,151.57,8.78
1990-01-23,151.57,8.78
1990-01-24,152.11,8.24
1990-01-25,152.51,7.84
1990-01-26,152.83,7.52
1990-01-27,152.95,7.4
1990-01-28,153.03,7.32
1990-01-29,153.11,7.24
1990-01-30,153.15,7.2
1990-02-03,154.69,5.66
1990-02-04,154.33,6.02
1990-02-05,154.09,6.26
1990-02-06,153.85,6.5
1990-02-07,153.69,6.66
1990-02-08,154.18,6.17
1990-02-09,154.09,6.26
1990-02-10,153.93,6.42
1990-02-11,153.77,6.58
1990-02-12,153.95,6.4
1990-02-13,154.03,6.32
1990-02-14,154.17,6.18
1990-02-15,154.51,5.84
1990-02-16,154.45,5.9
1990-02-17,154.25,6.1
1990-02-18,154.09,6.26
1990-02-19,153.93,6.42
1990-02-20,153.77,6.58
1990-02-21,153.6,6.75
1990-02-22,153.47,6.88
1990-02-24,153.23,7.12
1990-02-25,153.14,7.21
1990-02-26,153.05,7.3
1990-02-27,152.96,7.39
1990-02-28,152.89,7.46
1990-03-01,152.8,7.55
1990-03-02,152.75,7.6
1990-03-03,152.69,7.66
1990-03-04,152.65,7.7
1990-03-05,152.61,7.74
1990-03-06,152.57,7.78
1990-03-07,152.55,7.8
1990-03-08,152.52,7.83
1990-03-09,152.45,7.9
1990-03-10,152.42,7.93
1990-03-11,152.41,7.94
1990-03-12,152.37,7.98
1990-03-13,152.35,8.0
1990-03-14,152.32,8.03
1990-03-15,152.29,8.06
1990-03-16,152.27,8.08
1990-03-17,152.25,8.1
1990-03-18,152.23,8.12
1990-03-19,152.19,8.16
1990-03-20,152.17,8.18
1990-03-21,152.15,8.2
1990-03-22,152.13,8.22
1990-03-23,152.1,8.25
1990-03-24,152.09,8.26
1990-03-25,152.05,8.3
1990-03-26,152.03,8.32
1990-03-27,152.01,8.34
1990-03-28,151.98,8.37
1990-03-29,151.95,8.4
1990-03-30,151.94,8.41
1990-04-02,151.87,8.48
1990-04-03,151.8,8.55
1990-04-04,151.78,8.57
1990-04-05,151.76,8.59
1990-04-06,151.75,8.6
1990-04-07,151.73,8.62
1990-04-08,151.69,8.66
1990-04-09,151.67,8.68
1990-04-10,151.65,8.7
