t,H,d
2003-12-17,101.25,10.99
2003-12-18,101.25,10.99
2003-12-19,101.24,11.0
2003-12-20,101.25,10.99
2003-12-21,101.24,11.0
2003-12-22,101.24,11.0
2003-12-23,101.24,11.0
2003-12-24,101.24,11.0
2003-12-25,101.24,11.0
2003-12-26,101.24,11.0
2003-12-27,101.24,11.0
2003-12-28,101.24,11.0
2003-12-29,101.26,10.98
2003-12-30,101.25,10.99
2003-12-31,101.25,10.99
2004-01-01,101.26,10.98
2004-01-02,101.26,10.98
2004-01-03,101.26,10.98
2004-01-04,101.27,10.97
2004-01-05,101.27,10.97
2004-01-06,101.28,10.96
2004-01-07,101.28,10.96
2004-01-08,101.31,10.93
2004-01-09,101.31,10.93
2004-01-10,101.32,10.92
2004-01-11,101.33,10.91
2004-01-12,101.36,10.88
2004-01-13,101.38,10.86
2004-01-14,101.4,10.84
2004-01-15,101.42,10.82
2004-01-16,101.44,10.8
2004-01-17,101.46,10.78
2004-01-18,101.47,10.77
2004-01-19,101.48,10.76
2004-01-20,101.5,10.74
2004-01-21,101.51,10.73
2004-01-22,101.52,10.72
2004-01-23,101.53,10.71
2004-01-24,101.54,10.7
2004-01-25,101.55,10.69
2004-01-26,101.57,10.67
2004-01-27,101.58,10.66
2004-01-28,101.6,10.64
2004-01-29,101.61,10.63
2004-01-30,101.64,10.6
2004-01-31,101.67,10.57
2004-02-01,101.67,10.57
2004-02-02,101.7,10.54
2004-02-03,101.72,10.52
2004-02-04,101.74,10.5
2004-02-05,101.77,10.47
2004-02-06,101.8,10.44
2004-02-07,101.81,10.43
2004-02-08,101.83,10.41
2004-02-09,101.85,10.39
2004-02-10,101.88,10.36
2004-02-11,101.91,10.33
2004-02-12,101.93,10.31
2004-02-13,101.95,10.29
2004-02-14,101.98,10.26
2004-02-15,102.0,10.24
2004-02-16,102.02,10.22
2004-02-17,102.05,10.19
2004-02-18,102.07,10.17
2004-02-19,102.1,10.14
2004-02-20,102.12,10.12
2004-02-21,102.15,10.09
2004-02-22,102.16,10.08
2004-02-23,102.16,10.08
2004-02-24,102.19,10.05
2004-02-25,102.21,10.03
2004-02-26,102.23,10.01
2004-02-27,102.25,9.99
2004-02-28,102.25,9.99
2004-02-29,102.25,9.99
2004-03-01,102.25,9.99
2004-03-02,102.26,9.98
2004-03-03,102.28,9.96
2004-03-04,102.31,9.93
2004-03-05,102.3,9.94
2004-03-06,102.31,9.93
2004-03-07,102.31,9.93
2004-03-08,102.31,9.93
2004-03-09,102.31,9.93
2004-03-10,102.32,9.92
2004-03-11,102.34,9.9
2004-03-12,102.35,9.89
2004-03-13,102.32,9.92
2004-03-14,102.32,9.92
2004-03-15,102.31,9.93
2004-03-16,102.32,9.92
2004-03-17,102.32,9.92
2004-03-18,102.33,9.91
2004-03-19,102.33,9.91
2004-03-20,102.33,9.91
2004-03-21,102.33,9.91
2004-03-22,102.33,9.91
2004-03-23,102.32,9.92
2004-03-24,102.32,9.92
2004-03-25,102.32,9.92
2004-03-26,102.32,9.92
2004-03-27,102.32,9.92
2004-03-28,102.32,9.92
2004-03-29,102.32,9.92
2004-03-30,102.33,9.91
2004-03-31,102.34,9.9
2004-04-01,102.34,9.9
2004-04-02,102.33,9.91
2004-04-03,102.31,9.93
2004-04-04,102.31,9.93
2004-04-05,102.31,9.93
2004-04-06,102.32,9.92
2004-04-07,102.32,9.92
2004-04-08,102.32,9.92
2004-04-09,102.32,9.92
2004-04-10,102.32,9.92
2004-04-11,102.31,9.93
2004-04-12,102.31,9.93
2004-04-13,102.31,9.93
2004-04-14,102.32,9.92
2004-04-15,102.32,9.92
2004-04-16,102.33,9.91
2004-04-17,102.32,9.92
2004-04-18,102.35,9.89
2004-04-19,102.32,9.92
2004-04-20,102.3,9.94
2004-04-21,102.3,9.94
2004-04-22,102.28,9.96
2004-04-23,102.27,9.97
2004-04-24,102.27,9.97
2004-04-25,102.28,9.96
2004-04-26,102.28,9.96
2004-04-27,102.29,9.95
2004-04-28,102.29,9.95
2004-04-29,102.29,9.95
2004-04-30,102.29,9.95
