t,H,d
2003-12-17,85.63,16.72
2003-12-18,85.63,16.72
2003-12-19,85.62,16.73
2003-12-20,85.63,16.72
2003-12-21,85.62,16.73
2003-12-22,85.62,16.73
2003-12-23,85.62,16.73
2003-12-24,85.62,16.73
2003-12-25,85.62,16.73
2003-12-26,85.62,16.73
2003-12-27,85.62,16.73
2003-12-28,85.62,16.73
2003-12-29,85.64,16.71
2003-12-30,85.63,16.72
2003-12-31,85.63,16.72
2004-01-01,85.64,16.71
2004-01-02,85.64,16.71
2004-01-03,85.64,16.71
2004-01-04,85.65,16.7
2004-01-05,85.65,16.7
2004-01-06,85.66,16.69
2004-01-07,85.66,16.69
2004-01-08,85.69,16.66
2004-01-09,85.69,16.66
2004-01-10,85.7,16.65
2004-01-11,85.71,16.64
2004-01-12,85.74,16.61
2004-01-13,85.76,16.59
2004-01-14,85.78,16.57
2004-01-15,85.8,16.55
2004-01-16,85.82,16.53
2004-01-17,85.84,16.51
2004-01-18,85.85,16.5
2004-01-19,85.86,16.49
2004-01-20,85.88,16.47
2004-01-21,85.89,16.46
2004-01-22,85.9,16.45
2004-01-23,85.91,16.44
2004-01-24,85.92,16.43
2004-01-25,85.93,16.42
2004-01-26,85.95,16.4
2004-01-27,85.96,16.39
2004-01-28,85.98,16.37
2004-01-29,85.99,16.36
2004-01-30,86.02,16.33
2004-01-31,86.05,16.3
2004-02-01,86.05,16.3
2004-02-02,86.08,16.27
2004-02-03,86.1,16.25
2004-02-04,86.12,16.23
2004-02-05,86.15,16.2
2004-02-06,86.18,16.17
2004-02-07,86.19,16.16
2004-02-08,86.21,16.14
2004-02-09,86.23,16.12
2004-02-10,86.26,16.09
2004-02-11,86.29,16.06
2004-02-12,86.31,16.04
2004-02-13,86.33,16.02
2004-02-14,86.36,15.99
2004-02-15,86.38,15.97
2004-02-16,86.4,15.95
2004-02-17,86.43,15.92
2004-02-18,86.45,15.9
2004-02-19,86.48,15.87
2004-02-20,86.5,15.85
2004-02-21,86.53,15.82
2004-02-22,86.54,15.81
2004-02-23,86.54,15.81
2004-02-24,86.57,15.78
2004-02-25,86.59,15.76
2004-02-26,86.61,15.74
2004-02-27,86.63,15.72
2004-02-28,86.63,15.72
2004-02-29,86.63,15.72
2004-03-01,86.63,15.72
2004-03-02,86.64,15.71
2004-03-03,86.66,15.69
2004-03-04,86.69,15.66
2004-03-05,86.68,15.67
2004-03-06,86.69,15.66
2004-03-07,86.69,15.66
2004-03-08,86.69,15.66
2004-03-09,86.69,15.66
2004-03-10,86.7,15.65
2004-03-11,86.72,15.63
2004-03-12,86.73,15.62
2004-03-13,86.7,15.65
2004-03-14,86.7,15.65
2004-03-15,86.69,15.66
2004-03-16,86.7,15.65
2004-03-17,86.7,15.65
2004-03-18,86.71,15.64
2004-03-19,86.71,15.64
2004-03-20,86.71,15.64
2004-03-21,86.71,15.64
2004-03-22,86.71,15.64
2004-03-23,86.7,15.65
2004-03-24,86.7,15.65
2004-03-25,86.7,15.65
2004-03-26,86.7,15.65
2004-03-27,86.7,15.65
2004-03-28,86.7,15.65
2004-03-29,86.7,15.65
2004-03-30,86.71,15.64
2004-03-31,86.72,15.63
2004-04-01,86.72,15.63
2004-04-02,86.71,15.64
2004-04-03,86.69,15.66
2004-04-04,86.69,15.66
2004-04-05,86.69,15.66
2004-04-06,86.7,15.65
2004-04-07,86.7,15.65
2004-04-08,86.7,15.65
2004-04-09,86.7,15.65
2004-04-10,86.7,15.65
2004-04-11,86.69,15.66
2004-04-12,86.69,15.66
2004-04-13,86.69,15.66
2004-04-14,86.7,15.65
2004-04-15,86.7,15.65
2004-04-16,86.71,15.64
2004-04-17,86.7,15.65
2004-04-18,86.73,15.62
2004-04-19,86.7,15.65
2004-04-20,86.68,15.67
2004-04-21,86.68,15.67
2004-04-22,86.66,15.69
2004-04-23,86.65,15.7
2004-04-24,86.65,15.7
2004-04-25,86.66,15.69
2004-04-26,86.66,15.69
2004-04-27,86.67,15.68
2004-04-28,86.67,15.68
2004-04-29,86.67,15.68
2004-04-30,86.67,15.68
2004-05-01,86.65,15.7
2004-05-02,86.64,15.71
2004-05-03,86.64,15.71
2004-05-04,86.67,15.68
2004-05-05,86.65,15.7
2004-05-06,86.63,15.72
2004-05-07,86.61,15.74
2004-05-08,86.61,15.74
2004-05-09,86.6,15.75
2004-05-10,86.59,15.76
2004-05-11,86.58,15.77
2004-05-12,86.58,15.77
2004-05-13,86.57,15.78
2004-05-14,86.56,15.79
2004-05-15,86.56,15.79
2004-05-16,86.56,15.79
2004-05-17,86.55,15.8
2004-05-18,86.55,15.8
