t,H,d
2003-12-18,142.2,12.3
2003-12-19,142.14,12.36
2003-12-20,142.1,12.4
2003-12-21,142.09,12.41
2003-12-22,142.09,12.41
2003-12-23,142.21,12.29
2003-12-24,142.29,12.21
2003-12-25,142.33,12.17
2003-12-26,142.38,12.12
2003-12-27,142.42,12.08
2003-12-28,142.65,11.85
2003-12-29,142.85,11.65
2003-12-30,142.92,11.58
2003-12-31,142.86,11.64
2004-01-01,142.87,11.63
2004-01-02,142.91,11.59
2004-01-03,142.87,11.63
2004-01-04,142.8,11.7
2004-01-05,142.73,11.77
2004-01-06,142.67,11.83
2004-01-07,142.63,11.87
2004-01-08,142.68,11.82
2004-01-09,142.88,11.62
2004-01-10,142.89,11.61
2004-01-11,142.88,11.62
2004-01-12,143.01,11.49
2004-01-13,143.2,11.3
2004-01-14,143.24,11.26
2004-01-15,143.18,11.32
2004-01-16,143.23,11.27
2004-01-17,143.27,11.23
2004-01-18,143.21,11.29
2004-01-19,143.14,11.36
2004-01-20,143.02,11.48
2004-01-21,142.88,11.62
2004-01-22,142.78,11.72
2004-01-23,142.84,11.66
2004-01-24,143.02,11.48
2004-01-25,143.07,11.43
2004-01-26,143.29,11.21
2004-01-27,143.25,11.25
2004-01-28,143.19,11.31
2004-01-29,143.09,11.41
2004-01-30,143.01,11.49
2004-01-31,142.93,11.57
2004-02-01,143.02,11.48
2004-02-02,143.0,11.5
2004-02-03,142.91,11.59
2004-02-04,142.8,11.7
2004-02-05,142.69,11.81
2004-02-06,142.63,11.87
2004-02-07,142.54,11.96
2004-02-08,142.47,12.03
2004-02-09,142.39,12.11
2004-02-10,142.33,12.17
2004-02-11,142.3,12.2
2004-02-12,142.24,12.26
2004-02-13,142.18,12.32
2004-02-14,142.15,12.35
2004-02-15,142.1,12.4
2004-02-16,142.04,12.46
2004-02-17,142.0,12.5
2004-02-18,141.97,12.53
2004-02-19,141.96,12.54
2004-02-20,141.93,12.57
2004-02-21,141.91,12.59
2004-02-22,141.87,12.63
2004-02-23,141.86,12.64
2004-02-24,141.9,12.6
2004-02-25,141.95,12.55
2004-02-26,141.95,12.55
2004-02-27,141.96,12.54
2004-02-28,141.93,12.57
2004-02-29,141.97,12.53
2004-03-01,142.1,12.4
2004-03-02,142.24,12.26
2004-03-03,142.36,12.14
2004-03-04,142.56,11.94
2004-03-05,142.87,11.63
2004-03-06,142.84,11.66
2004-03-07,142.78,11.72
2004-03-08,142.69,11.81
2004-03-09,142.64,11.86
2004-03-10,142.59,11.91
2004-03-11,142.55,11.95
2004-03-12,142.54,11.96
2004-03-13,142.72,11.78
2004-03-14,142.76,11.74
2004-03-15,142.75,11.75
2004-03-16,142.77,11.73
2004-03-17,142.73,11.77
2004-03-18,142.66,11.84
2004-03-19,142.59,11.91
2004-03-20,142.53,11.97
2004-03-21,142.48,12.02
2004-03-22,142.47,12.03
2004-03-23,142.55,11.95
2004-03-24,142.67,11.83
2004-03-25,142.69,11.81
2004-03-26,142.64,11.86
2004-03-27,142.58,11.92
2004-03-28,142.49,12.01
2004-03-29,142.4,12.1
2004-03-30,142.34,12.16
2004-03-31,142.27,12.23
2004-04-01,142.22,12.28
2004-04-02,142.2,12.3
2004-04-03,142.2,12.3
2004-04-04,142.21,12.29
2004-04-05,142.28,12.22
2004-04-06,142.3,12.2
2004-04-07,142.25,12.25
2004-04-08,142.2,12.3
2004-04-09,142.15,12.35
2004-04-10,142.11,12.39
