t,H,d
2003-12-16,53.2,3.95
2003-12-17,53.14,4.01
2003-12-18,53.12,4.03
2003-12-19,53.07,4.08
2003-12-20,53.02,4.13
2003-12-21,52.98,4.17
2003-12-22,52.88,4.27
2003-12-23,52.82,4.33
2003-12-24,52.79,4.36
2003-12-25,52.75,4.4
2003-12-26,52.78,4.37
2003-12-27,52.81,4.34
2003-12-28,52.97,4.18
2003-12-29,53.14,4.01
2003-12-30,53.29,3.86
2003-12-31,53.42,3.73
2004-01-01,53.58,3.57
2004-01-02,53.65,3.5
2004-01-03,53.68,3.47
2004-01-04,53.7,3.45
2004-01-05,53.71,3.44
2004-01-06,53.7,3.45
2004-01-07,53.67,3.48
2004-01-08,53.71,3.44
2004-01-09,53.84,3.31
2004-01-10,53.88,3.27
2004-01-11,53.94,3.21
2004-01-12,53.99,3.16
2004-01-13,54.05,3.1
2004-01-14,54.12,3.03
2004-01-15,54.14,3.01
2004-01-16,54.19,2.96
2004-01-17,54.2,2.95
2004-01-18,54.15,3.0
2004-01-19,54.12,3.03
2004-01-20,54.11,3.04
2004-01-21,54.07,3.08
2004-01-22,54.01,3.14
2004-01-23,53.97,3.18
2004-01-24,53.92,3.23
2004-01-25,53.89,3.26
2004-01-26,53.99,3.16
2004-01-27,53.98,3.17
2004-01-28,54.01,3.14
2004-01-29,54.01,3.14
2004-01-30,53.99,3.16
2004-01-31,53.98,3.17
2004-02-01,53.96,3.19
2004-02-02,53.93,3.22
2004-02-03,53.91,3.24
2004-02-04,53.86,3.29
2004-02-05,53.81,3.34
2004-02-06,53.77,3.38
2004-02-07,53.69,3.46
2004-02-08,53.6,3.55
2004-02-09,53.5,3.65
2004-02-10,53.44,3.71
2004-02-11,53.38,3.77
2004-02-12,53.31,3.84
2004-02-13,53.25,3.9
2004-02-14,53.21,3.94
2004-02-15,53.16,3.99
2004-02-16,53.09,4.06
2004-02-17,53.02,4.13
2004-02-18,52.98,4.17
2004-02-19,52.95,4.2
2004-02-20,52.93,4.22
2004-02-21,52.93,4.22
2004-02-22,52.88,4.27
2004-02-23,52.82,4.33
2004-02-24,52.77,4.38
2004-02-25,52.77,4.38
2004-02-26,52.76,4.39
2004-02-27,52.79,4.36
2004-02-28,52.79,4.36
2004-02-29,52.83,4.32
2004-03-01,52.86,4.29
2004-03-02,52.9,4.25
2004-03-03,52.96,4.19
2004-03-04,53.06,4.09
2004-03-05,53.34,3.81
2004-03-06,53.57,3.58
2004-03-07,53.74,3.41
2004-03-08,53.83,3.32
2004-03-09,53.87,3.28
2004-03-10,53.9,3.25
2004-03-11,53.9,3.25
2004-03-12,53.92,3.23
2004-03-13,53.93,3.22
2004-03-14,53.91,3.24
2004-03-15,53.88,3.27
2004-03-16,53.85,3.3
2004-03-17,53.84,3.31
