t,H,d
2003-12-16,57.44,14.77
2003-12-17,57.42,14.79
2003-12-18,57.41,14.8
2003-12-19,57.39,14.82
2003-12-20,57.38,14.83
2003-12-21,57.36,14.85
2003-12-22,57.35,14.86
2003-12-23,57.35,14.86
2003-12-24,57.34,14.87
2003-12-25,57.33,14.88
2003-12-26,57.32,14.89
2003-12-27,57.31,14.9
2003-12-28,57.32,14.89
2003-12-29,57.35,14.86
2003-12-30,57.41,14.8
2003-12-31,57.43,14.78
2004-01-01,57.45,14.76
2004-01-02,57.46,14.75
2004-01-03,57.46,14.75
2004-01-04,57.46,14.75
2004-01-05,57.45,14.76
2004-01-06,57.44,14.77
2004-01-07,57.44,14.77
2004-01-08,57.45,14.76
2004-01-09,57.52,14.69
2004-01-10,57.55,14.66
2004-01-11,57.58,14.63
2004-01-12,57.63,14.58
2004-01-13,57.79,14.42
2004-01-14,57.97,14.24
2004-01-15,57.99,14.22
2004-01-16,58.07,14.14
2004-01-17,58.11,14.1
2004-01-18,58.13,14.08
2004-01-19,58.13,14.08
2004-01-20,58.12,14.09
2004-01-21,58.09,14.12
2004-01-22,58.07,14.14
2004-01-23,58.06,14.15
2004-01-24,58.04,14.17
2004-01-25,58.03,14.18
2004-01-26,58.05,14.16
2004-01-27,58.07,14.14
2004-01-28,58.08,14.13
2004-01-29,58.07,14.14
2004-01-30,58.06,14.15
2004-01-31,58.06,14.15
2004-02-01,58.06,14.15
2004-02-02,58.06,14.15
2004-02-03,58.06,14.15
2004-02-04,58.04,14.17
2004-02-05,58.02,14.19
2004-02-06,58.01,14.2
2004-02-07,57.98,14.23
2004-02-08,57.96,14.25
2004-02-09,57.93,14.28
2004-02-10,57.91,14.3
2004-02-11,57.89,14.32
2004-02-12,57.86,14.35
2004-02-13,57.84,14.37
2004-02-14,57.83,14.38
2004-02-15,57.81,14.4
2004-02-16,57.79,14.42
2004-02-17,57.77,14.44
2004-02-18,57.76,14.45
2004-02-19,57.75,14.46
2004-02-20,57.74,14.47
2004-02-21,57.74,14.47
