t,H,d
2004-11-16,72.95,15.25
2004-11-17,72.94,15.26
2004-11-18,72.92,15.28
2004-11-19,72.9,15.3
2004-11-20,72.88,15.32
2004-11-21,72.86,15.34
2004-11-22,72.85,15.35
2004-11-23,72.83,15.37
2004-11-24,72.81,15.39
2004-11-25,72.79,15.41
2004-11-26,72.78,15.42
2004-11-27,72.76,15.44
2004-11-28,72.75,15.45
2004-11-29,72.72,15.48
2004-11-30,72.71,15.49
2004-12-01,72.69,15.51
2004-12-02,72.67,15.53
2004-12-03,72.64,15.56
2004-12-04,72.63,15.57
2004-12-05,72.61,15.59
2004-12-06,72.59,15.61
2004-12-07,72.58,15.62
2004-12-08,72.56,15.64
2004-12-09,72.54,15.66
2004-12-10,72.52,15.68
2004-12-11,72.51,15.69
2004-12-12,72.49,15.71
2004-12-13,72.47,15.73
2004-12-14,72.45,15.75
2004-12-15,72.44,15.76
2004-12-16,72.42,15.78
2004-12-17,72.42,15.78
2004-12-18,72.38,15.82
2004-12-19,72.37,15.83
2004-12-20,72.34,15.86
2004-12-21,72.32,15.88
2004-12-22,72.31,15.89
2004-12-23,72.29,15.91
2004-12-24,72.28,15.92
2004-12-25,72.26,15.94
2004-12-26,72.23,15.97
2004-12-27,72.21,15.99
2004-12-28,72.2,16.0
2004-12-29,72.17,16.03
2004-12-30,72.16,16.04
2004-12-31,72.14,16.06
2005-01-01,72.13,16.07
2005-01-02,72.1,16.1
2005-01-03,72.09,16.11
2005-01-04,72.07,16.13
2005-01-05,72.05,16.15
2005-01-06,72.03,16.17
2005-01-07,72.02,16.18
2005-01-08,72.0,16.2
2005-01-09,71.99,16.21
2005-01-10,71.97,16.23
2005-01-11,71.96,16.24
2005-01-12,71.94,16.26
2005-01-13,71.92,16.28
2005-01-14,71.91,16.29
2005-01-15,71.9,16.3
2005-01-16,71.86,16.34
2005-01-17,71.87,16.33
2005-01-18,71.84,16.36
2005-01-19,71.83,16.37
2005-01-20,71.81,16.39
