t,H,d
2003-12-17,28.14,10.91
2003-12-18,28.12,10.93
2003-12-19,28.11,10.94
2003-12-20,28.09,10.96
2003-12-21,28.08,10.97
2003-12-22,28.04,11.01
2003-12-23,28.05,11.0
2003-12-24,28.05,11.0
2003-12-25,28.05,11.0
2003-12-26,28.06,10.99
2003-12-27,28.07,10.98
2003-12-28,28.38,10.67
2003-12-29,28.43,10.62
2003-12-30,28.6,10.45
2003-12-31,28.57,10.48
2004-01-01,28.57,10.48
2004-01-02,28.57,10.48
2004-01-03,28.58,10.47
2004-01-04,28.58,10.47
2004-01-05,28.57,10.48
2004-01-06,28.56,10.49
2004-01-07,28.54,10.51
2004-01-08,28.58,10.47
2004-01-09,28.88,10.17
2004-01-10,28.92,10.13
2004-01-11,28.9,10.15
2004-01-12,28.99,10.06
2004-01-13,30.2,8.85
2004-01-14,30.82,8.23
2004-01-15,30.63,8.42
2004-01-16,30.46,8.59
2004-01-17,30.34,8.71
2004-01-18,30.59,8.46
2004-01-19,30.54,8.51
2004-01-20,30.2,8.85
2004-01-21,29.85,9.2
2004-01-22,29.58,9.47
2004-01-23,29.46,9.59
2004-01-24,29.54,9.51
2004-01-25,29.69,9.36
2004-01-26,30.23,8.82
2004-01-27,30.52,8.53
2004-01-28,30.35,8.7
2004-01-29,29.97,9.08
2004-01-30,29.66,9.39
2004-01-31,29.41,9.64
2004-02-01,29.31,9.74
2004-02-02,29.23,9.82
2004-02-03,29.13,9.92
2004-02-04,29.01,10.04
2004-02-05,28.88,10.17
2004-02-06,28.78,10.27
2004-02-07,28.71,10.34
2004-02-08,28.66,10.39
2004-02-09,28.63,10.42
2004-02-10,28.59,10.46
2004-02-11,28.57,10.48
2004-02-12,28.55,10.5
2004-02-13,28.53,10.52
2004-02-14,28.51,10.54
2004-02-15,28.48,10.57
2004-02-16,28.46,10.59
2004-02-17,28.45,10.6
2004-02-18,28.43,10.62
2004-02-19,28.42,10.63
2004-02-20,28.41,10.64
2004-02-21,28.4,10.65
2004-02-22,28.39,10.66
2004-02-23,28.37,10.68
2004-02-24,28.36,10.69
2004-02-25,28.36,10.69
