t,H,d
2008-01-24,49.97,7.3
2008-01-25,49.93,7.34
2008-01-26,49.99,7.28
2008-01-27,49.99,7.28
2008-01-28,49.99,7.28
2008-01-29,50.01,7.26
2008-01-30,50.01,7.26
2008-01-31,50.02,7.25
2008-02-01,50.1,7.17
2008-02-02,49.99,7.28
2008-02-03,50.08,7.19
2008-02-04,50.08,7.19
2008-02-05,50.04,7.23
2008-02-06,50.01,7.26
2008-02-07,50.02,7.25
2008-02-08,50.1,7.17
2008-02-09,50.1,7.17
2008-02-10,50.12,7.15
2008-02-11,50.14,7.13
2008-02-12,50.14,7.13
2008-02-13,50.14,7.13
2008-02-14,50.14,7.13
2008-02-15,50.16,7.11
2008-02-16,50.14,7.13
2008-02-17,50.16,7.11
2008-02-18,50.18,7.09
2008-02-19,50.22,7.05
2008-02-20,50.22,7.05
2008-02-21,50.16,7.11
2008-02-22,50.16,7.11
2008-02-23,50.18,7.09
2008-02-24,50.24,7.03
2008-02-25,50.2,7.07
2008-02-26,50.24,7.03
2008-02-27,50.2,7.07
2008-02-28,50.2,7.07
2008-02-29,50.2,7.07
2008-03-01,50.22,7.05
2008-03-02,50.22,7.05
2008-03-03,50.22,7.05
2008-03-04,50.22,7.05
2008-03-05,50.16,7.11
2008-03-06,50.22,7.05
2008-03-07,50.26,7.01
2008-03-08,50.26,7.01
2008-03-09,50.29,6.98
2008-03-10,50.33,6.94
2008-03-11,50.24,7.03
2008-03-12,50.2,7.07
2008-03-13,50.2,7.07
2008-04-03,50.33,6.94
2008-04-04,50.33,6.94
2008-04-05,50.39,6.88
2008-04-06,50.41,6.86
2008-04-07,50.39,6.88
2008-04-08,50.41,6.86
2008-04-09,50.41,6.86
2008-04-10,50.39,6.88
2008-04-11,50.37,6.9
2008-04-12,50.33,6.94
2008-04-13,50.35,6.92
2008-04-14,50.33,6.94
2008-04-15,50.31,6.96
2008-04-16,50.37,6.9
2008-04-17,50.45,6.82
2008-04-18,50.45,6.82
2008-04-19,50.39,6.88
2008-04-20,50.37,6.9
2008-04-21,50.39,6.88
2008-04-22,50.33,6.94
2008-04-23,50.31,6.96
2008-04-24,50.31,6.96
2008-04-25,50.33,6.94
2008-04-26,50.37,6.9
2008-04-27,50.43,6.84
2008-04-28,50.45,6.82
2008-04-29,50.47,6.8
2008-04-30,50.47,6.8
2008-05-01,50.39,6.88
2008-05-02,50.37,6.9
2008-05-03,50.41,6.86
2008-05-04,50.43,6.84
2008-05-05,50.43,6.84
2008-05-06,50.45,6.82
