NOM_BV;ID_HYDRO;CODE_BSS;NOM_BSS;TEMPS_RECESS
Nancon;J0014010;BSS000TRGE;Louvigne-du-Desert;36,2
Loysance;J0144010;BSS000TRGE;Louvigne-du-Desert;31,7
Rance_StJouan;J0611610;BSS000XKNA;Merdrignac;36,6
Rance_Guenroc;J0621610;BSS000XLMM;Boisgervilly;34,8
Neal;J0626610;BSS000XLMM;Boisgervilly;10,3
Arguenon;J1103010;BSS000VPUH;Tremeur;12,5
Quilloury;J1105810;BSS000VPUH;Tremeur;15,2
Rosette;J1114010;BSS000VPUH;Tremeur;17,7
Fremur_Henanbihen;J1205410;BSS000TKJT;Quintenic;9,5
Gouessant;J1313010;BSS000TKJT;Quintenic;12
Evron;J1324010;BSS000VNGX;Brehand;11,5
Urne;J1405310;BSS000VNGX;Brehand;7,7
Gouet;J1513010;BSS000VLAJ;Kerpert;15,7
Maudouve;J1524010;BSS000VLAJ;Kerpert;25,2
Ic;J1614010;BSS000TFHB;Tremuson;28,6
Trieux;J1711710;BSS000VLAJ;Kerpert;23,5
Leff_Boqueho;J1803010;BSS000VLAJ;Kerpert;26,9
Leff_Quemper;J1813010;BSS000QXSM;Goudelin;36,5
Jaudy;J2023010;BSS000TBHG;Louargat;
Guindy;J2034010;BSS000QVLD;Pommerit-Jaudy;22,4
Guic;J2213110;BSS000TASQ;Plougonven;33,9
Leguer_Pluzunet;J2233020;BSS000TBHG;Louargat;
Yar;J2314910;BSS000TASQ;Plougonven;17,4
Douron;J2404010;BSS000TASQ;Plougonven;15,4
Dourduff;J2514010;BSS000TASQ;Plougonven;13,2
Jarlot;J2603010;BSS000TASQ;Plougonven;20,6
Queffleuth;J2614020;BSS000TASQ;Plougonven;20,9
Penze;J2723010;BSS000TASQ;Plougonven;17
Horn;J3014330;BSS000SZAF;Plouvorn;
Guillec;J3024010;BSS000SZAF;Plouvorn;15,4
Aber-Wrach_Loc;J3204030;BSS000SYKG;Saint-Divy;22,4
Aber-Wrach_Drennec;J3205710;BSS000SYKG;Saint-Divy;
Aber-Benoit;J3213020;BSS000SYKG;Saint-Divy;40,8
Aber-Ildut;J3323020;BSS000SXEA;Lanrivoare;39,6
Elorn_Sizun;J3403010;BSS000VHWC;Commana;46,8
Elorn_Commana;J3403020;BSS000VHWC;Commana;20,8
Mougau-Bihan;J3404110;BSS000VHWC;Commana;34,2
Elorn_Plouedern;J3413030;BSS000VHWC;Commana;13,6
Mignonne;J3514010;BSS000SZLF;Pencran;29,7
Hyeres;J3733010;BSS000XDRF;Spezet;28,8
Douffine;J3834010;BSS000XCLK;Saint-Segal;35,5
Pont-Abbe;J4124420;BSS000ZCUJ;Landudec;27,5
Troyon;J4125720;BSS000ZCUJ;Landudec;30,7
Odet_Ergue;J4211910;BSS000ZGDV;Scaer;13,8
Langelin;J4214510;BSS000XCWZ;Landrevarzec;21,2
Jet;J4224010;BSS000ZGDV;Scaer;24,6
Odet_Quimper;J4231911;BSS000ZGDV;Scaer;26
Moros;J4514010;BSS000ZGDV;Scaer;25,5
Styval;J4515420;BSS000ZGDV;Scaer;26
Elle_Priziac;J4712020;BSS000XGDQ;Ploerdut;22,5
Inam;J4734010;BSS000ZGDV;Scaer;21,9
Isole;J4803010;BSS000ZGDV;Scaer;20,6
Scorff;J5102210;BSS000XGDQ;Ploerdut;10,8
Blavet_Kerien;J5202110;BSS000VLAJ;Kerpert;14,1
Lestolet;J5205210;BSS000VLAJ;Kerpert;24,3
Evel;J5613010;BSS001BFZQ;Baud;30,7
Fremeur_Guenin;J5618310;BSS001BFZQ;Baud;26,1
Fremeur_Plumeliau;J5618320;BSS001BFZQ;Baud;34,8
Coet-Organ;J5704810;BSS000ZJKX;Bieuzy;11,6
Loch;J6213010;BSS001BGUE;Grand-Champ;27,2
Valiere;J7024010;BSS000XTEY;Val-d'Ize;29
Ille;J7103010;BSS000VPUH;Tremeur;21,5
Flume;J7214010;BSS000XLMM;Boisgervilly;32,3
Meu_Gael;J7313010;BSS000XKNA;Merdrignac;22,1
Garun;J7344010;BSS000XLMM;Boisgervilly;33,9
Meu_Montfort;J7353010;BSS000XLMM;Boisgervilly;14,9
Serein;J7355010;BSS000ZLVF;Paimpont;16,1
Careil;J7356010;BSS000ZLVF;Paimpont;18,8
Cheze_StThurial;J7364210;BSS000ZLVF;Paimpont;14,6
Cheze_Plelan;J7364220;BSS000ZLVF;Paimpont;28,2
Vaunoise;J7373110;BSS000XLMM;Boisgervilly;12
Canut-Nord;J7513010;BSS000ZLVF;Paimpont;8,6
Semnon;J7633010;BSS000ZPHJ;Bourg-des-Comptes;26,5
Chateaubriant;J7803020;BSS001DMKM;Segre-en-Anjou Bleu;26,7
Oust_StMartin;J8002320 ;BSS000VNUM;Plouguenast-Langast;19,3
Lie;J8133010;BSS000VNUM;Plouguenast-Langast;20,4
Claie_StJean;J8433020;BSS000ZLCM;Bignan;13,5
Aff_Paimpont;J8602410;BSS000ZLVF;Paimpont;14,9
Aff_Quelneuc;J8632410;BSS001BJPJ;Guer;29,3
