name;ID;station_name;area;x_outlet;y_outlet;BSS_ID;BSS_name
Nancon;J0014010;Le Nançon à Lécousse;64.45;389358;6816630;BSS000TRGE;Louvigne-du-Desert
Couesnon;J0121510;Le Couesnon à Romazy;517.0;366609;6816734;;
Loysance;J0144010;La Loisance à Saint-Ouen-la-Rouërie;82.1;372020;6823398;BSS000TRGE;Louvigne-du-Desert
Guyoult;J0323010;Le Guyoult à Epiniac;62.7;353973;6835365;;
Rance_StJouan;J0611610;La Rance à Saint-Jouan-de-l'Isle;143.5;316728;6807388;BSS000XKNA;Merdrignac
Rance_Guenroc;J0621610;La Rance à Guenroc [EDF];374.4;325225;6813778;BSS000XLMM;Boisgervilly
Neal;J0626610;Le Néal à Médréac;83.3;326084;6808862;BSS000XLMM;Boisgervilly
Fremur_Pleslin;J1004520;Le Frémur [de Lancieux] à Pleslin-Trigavou;36.5;325717;6839857;;
Arguenon;J1103010;L'Arguenon à Jugon-les-Lacs;103.5;305570;6824711;BSS000VPUH;Tremeur
Quilloury;J1105810;Le Quiloury à Plénée-Jugon;37.11;301658;6821438;BSS000VPUH;Tremeur
Rosette;J1114010;La Rosette à Mégrit;112.9;311269;6820269;BSS000VPUH;Tremeur
Fremur_Henanbihen;J1205410;Le Frémur [d'Hénanbihen] à Pléboulle;68.0;305041;6846021;BSS000TKJT;Quintenic
Gouessant;J1313010;Le Gouessant à Andel;244.345;288863;6834984;BSS000TKJT;Quintenic
Evron;J1324010;L'Evron à Coëtmieux;139.3;286124;6835808;BSS000VNGX;Brehand
Urne;J1405310;L'Urne à Plédran;43.0;275188;6833965;BSS000VNGX;Brehand
Gouet;J1513010;Le Gouët à Saint-Julien;135.9;269016;6832185;BSS000VLAJ;Kerpert
Maudouve;J1524010;La Maudouve à Saint-Donan;29.2;268082;6834560;BSS000VLAJ;Kerpert
Ic;J1614010;L'Ic à Binic;79.4;268863;6849415;BSS000TFHB;Tremuson
Trieux;J1711710;Le Trieux à Saint-Péver;183.39;248581;6837823;BSS000VLAJ;Kerpert
Leff_Boqueho;J1803010;Le Leff à Boqueho;42.12;260615;6836790;BSS000VLAJ;Kerpert
Leff_Quemper;J1813010;Le Leff à Quemper-Guézennec et à Yvias;339.7;253936;6862194;BSS000QXSM;Goudelin
Jaudy;J2023010;Le Jaudy à Mantallot;165.32;239153;6864255;BSS000TBHG;Louargat
Guindy;J2034010;Le Guindy à Plouguiel;123.1;240725;6871783;BSS000QVLD;Pommerit-Jaudy
Guic;J2213110;Le Guic à Guerlesquin;7.3;213828;6842804;BSS000TASQ;Plougonven
Leguer_BelleIsle;J2233010;Le Léguer à Belle-Isle-en-Terre;265.0;228253;6846555;;
Leguer_Pluzunet;J2233020;Le Léguer à Pluzunet;358.5;227883;6856475;BSS000TBHG;Louargat
Yar;J2314910;Le Yar à Tréduder;58.1;216004;6858690;BSS000TASQ;Plougonven
Douron;J2404010;Le Douron au Ponthou;25.8;210153;6849065;BSS000TASQ;Plougonven
Dourduff;J2514010;Le Dourduff à Garlan;44.24;201590;6855584;BSS000TASQ;Plougonven
Jarlot;J2603010;Le Jarlot à Plougonven;43.5;198899;6851181;BSS000TASQ;Plougonven
Tromorgant;J2605410;Le Tromorgant à Plougonven;41.7;199117;6851198;;
Queffleuth;J2614010;Le Queffleuth à Plourin-lès-Morlaix;95.3;196175;6851544;;
Penze;J2723010;La Penzé à Taulé;141.6;189998;6854106;BSS000TASQ;Plougonven
Horn;J3014330;L'Horn à Mespaul;38.35;183533;6856805;BSS000SZAF;Plouvorn
Guillec;J3024010;Le Guillec à Trézilidé;44.7;179067;6858450;BSS000SZAF;Plouvorn
Aber-Wrach_Loc;J3204020;L'Aber Wrac'h à Lanarvily et à Loc-Brévalaire;79.2;154672;6854120;;
Aber-Wrach_Drennec;J3205710;[L'Aber Wrac'h (branche ouest)] au Drennec;24.7;157220;6851005;BSS000SYKG;Saint-Divy
Aber-Benoit;J3213020;L'Aber Benoît à Plabennec;26.9;153861;6850521;BSS000SYKG;Saint-Divy
Aber-Ildut;J3323020;L'Aber Ildut à Brélès et à Plouarzel;94.25;132967;6844862;BSS000SXEA;Lanrivoare
Elorn_Sizun;J3403010;L'Elorn à Sizun;24.93;180695;6833078;BSS000VHWC;Commana
Elorn_Commana;J3403020;L'Elorn à Commana;9.5;182402;6832320;BSS000VHWC;Commana
