,J0014010,J0144010,J3014330,J3204020,J3205710,J3213020,J3403010
1959,,,,,,,
1960,,,,,,,
1961,,,,,,,
1962,,,,,,,
1963,,,,,,,
1964,,,,,,,
1965,,,,,,,
1966,,,,,,,
1967,,,,,,,
1968,,,,,,,
1969,,,,,,,
1970,,,,,,,
1971,0.47028176985064707,0.4776957397705608,,,,,
1972,,,,,,,
1973,0.45949364397324743,,,,0.5078159511633213,0.5308582979677796,
1974,,,,,,,
1975,,,,,,,
1976,0.46612840737094685,0.46473452577650487,,,,0.4482222135471154,0.458877507462581
1977,,,,,,,
1978,,,,,,,
1979,,,,,,,
1980,,,,,,,
1981,,,,,,,
1982,,,,,,,
1983,,,,,,,
1984,,,,,,,
1985,,,,,,,
1986,,,,,,,
1987,,,,,,,
1988,,,,,,,
1989,,,,,,,
1990,0.48658988076577314,0.563050855018345,,,,,0.4684216082971607
1991,,,,,,,
1992,,,,,0.5396618971940457,0.5269675042659434,
1993,,,0.48727159377100066,,0.5598837894370277,0.5784597817808923,
1994,,,,,,,
1995,,,,,,,
1996,0.5373407212621157,,0.6210614145239299,,0.4802385063827167,0.5178457319802707,0.5951415246554501
1997,0.4960484217989529,0.4907512802981988,0.5250939560936104,,0.5628331913338724,0.5583474311836991,
1998,,,,,,,
1999,,,,,,,
2000,,,,,,,
2001,,,,,,,
2002,,,0.49572049708943866,0.5465665889828879,0.45804853913126253,0.4710939702160603,
2003,,,,0.46338108430621394,,,0.47934788526022964
2004,0.5296028330219623,0.5563483494716204,0.5232293435709202,0.6090209099560159,0.4943883065441775,0.4818620085302181,0.5499285018931273
2005,0.5656091472277632,0.5584676148847297,0.5176054390581547,,0.5273540624524778,0.5331731483333523,
2006,,,,,,,
2007,,,,,,,
2008,,,0.4890720992176282,0.6254627640953732,0.48184423123761316,0.481574128453918,0.4462284427980465
2009,,0.4760685791362368,0.5071396784262151,0.5169157845720829,,,0.5485764457594439
2010,,,,,,,
2011,0.5097359847545377,0.5150928911765433,0.5362656895274192,0.4662356473719809,,,
2012,,,,,0.4519240452074764,0.43840556235283484,
2013,,,,,,,
2014,,,,,,,
2015,,,,,,,
2016,,,,,,,
2017,0.5684582155891488,0.518530614922539,0.5877033376197223,0.5910957816933818,0.5913245585929678,0.536797032546626,
2018,,,,,,,
2019,0.5553397472400647,0.5708364863522237,0.495220281613144,0.45657943603888956,,,0.5511882722321012
2020,,,,,,,
2021,,,,,,,0.4864184420551215
2022,,,,,,,
2023,,,,,,,
2024,,,,,,,
